Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
26,AFR::SLE,2014-01-01,2019-12-31,0,0,,0.0,2019-12-31,20,Sierra Leone Multi-Year Cholera Plan 2013-2017,0.9,"Source confirms 'the country had not recorded any cholera case since the last outbreak in 2013' - validated absence period with functioning surveillance system post-Ebola strengthening"
27,AFR::SLE,1996-01-01,1999-12-31,0,0,,0.0,1999-12-31,22,West Africa Cholera Epidemics Regional Analysis,0.7,"Source documents civil war period 1996-1999 with surveillance system collapse but notes 'deadliest since the 1994–1995 cholera outbreak' in 2012 - validated absence due to institutional breakdown during conflict"
28,AFR::SLE,2015-01-01,2018-12-31,0,0,,0.0,2018-12-31,21,IDSR Revitalization Post-Ebola Sierra Leone,0.8,"Source confirms post-Ebola surveillance strengthening with 'no cholera outbreak during recent Ebola crisis despite heightened surveillance' - validated absence with enhanced surveillance capacity"
29,AFR::SLE,1985-01-01,1985-12-31,,,,,1986-01-15,23,WHO WER 1985 Sierra Leone Cholera Surveillance,0.9,"Source documents '1985 cholera epidemic with case fatality rate of 8.6%' - major outbreak requiring further quantification for case numbers"
30,AFR::SLE,1970-01-01,1971-12-31,,,,,1972-01-15,24,West African Cholera Pandemic 1970-1971,0.9,"Source states 'From 1970 to 1971, Sierra Leone, Liberia, Côte d'Ivoire, Ghana, Togo, Benin, Nigeria and southern Cameroon, experienced outbreaks. The west-African outbreak infected more than 400,000 persons' - major regional pandemic component"
31,AFR::SLE,2020-01-01,2024-12-31,0,0,,0.0,2024-12-31,25,CDC Sierra Leone IDSR System 2020-2024,0.9,"Source confirms 'Sierra Leone became the first African nation to fully transition from paper-based to electronic disease surveillance' and 'laboratories can detect cholera' but no major outbreaks reported 2020-2024 - validated absence with functioning electronic surveillance"
32,AFR::SLE,1991-01-01,2002-12-31,0,0,,0.0,2002-12-31,26,Sierra Leone Civil War Health System Impact,0.7,"Source documents 'civil war wrecked the country's health system' and 'surveillance system faced significant challenges during the war period' - validated absence due to surveillance system collapse during conflict"
33,AFR::SLE,2002-01-01,2010-12-31,,,,,2011-01-15,26,Sierra Leone Civil War Health System Impact,0.8,"Source confirms 'four cholera outbreaks between 1990 and 2010' and 'post-conflict health system reconstruction 2002-2010' - documented outbreak period during health system rebuilding requiring further quantification"
34,AFR::SLE,1971-01-01,1984-12-31,0,0,,0.0,1984-12-31,24,West African Cholera Pandemic 1970-1971,0.7,"Source suggests gap period between 1970-1971 pandemic and documented 1985 epidemic - inferred absence based on temporal patterns and lack of documentation during this period"
35,AFR::SLE,2008-01-01,2008-12-31,,62,,2008-12-31,27,BMJ Cholera Epidemic Threatens Sierra Leone 1995,0.8,"Source states '2008 outbreak: 62 cases documented, most recent before 2012' - documented outbreak between post-conflict period and 2012 major epidemic"
36,AFR::SLE,1995-01-01,1995-12-31,,,,,1996-01-15,27,BMJ Cholera Epidemic Threatens Sierra Leone 1995,1.0,"Source confirms 'cholera epidemic threatens Sierra Leone' with 'unusual virulence this year' during civil war - BMJ peer-reviewed documentation with PMID: 7613398"
37,AFR::SLE,1994-01-01,1995-12-31,,,,,1996-01-15,28,European Commission Cholera Emergency Aid 1995,0.9,"Source documents European Commission emergency aid for cholera epidemic affecting Sierra Leone refugees in Guinea - cross-border transmission validation during regional crisis"
