Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status
26,WHO Angola Vaccination Campaign,https://www.afro.who.int/countries/angola/news/vaccination-against-cholera-brings-hope-more-2-million-angolans,News on 2025 cholera vaccination campaign,2025,Vaccination Campaign,Active,Level 1,Validated
27,WHO Angola Vaccination Coordination,https://www.afro.who.int/countries/angola/news/cholera-vaccination-campaign-angola-coordinated-response-save-lives,Coordinated vaccination campaign response,2025,Vaccination Campaign,Active,Level 1,Validated
28,WHO Angola Vaccination Protection,https://www.afro.who.int/countries/angola/news/cholera-vaccination-campaign-angola-protection-and-prevention-all,Vaccination protection and prevention details,2025,Vaccination Campaign,Active,Level 1,Validated
29,WHO Angola Million Vaccinated,https://www.afro.who.int/countries/angola/news/angola-vaccinates-over-1-million-people-it-bolsters-cholera-outbreak-control-efforts,News on 1 million people vaccinated milestone,2025,Vaccination Campaign,Active,Level 1,Validated
30,WHO Angola Front Line Hope,https://www.afro.who.int/countries/angola/news/front-line-hope-angolas-fight-against-cholera-1,Front line response to cholera outbreak,2025,Outbreak Response,Active,Level 1,Validated
31,WHO Angola Active Case Finding,https://www.afro.who.int/countries/angola/news/strengthening-active-cholera-case-finding-angola,Strengthening active cholera case finding,2025,Surveillance Enhancement,Active,Level 1,Validated
32,WHO Angola Fighting Provinces,https://www.afro.who.int/countries/angola/news/fighting-cholera-front-lines-angolas-hardest-hit-provinces,Fighting cholera in hardest hit provinces,2025,Outbreak Response,Active,Level 1,Validated
33,UNICEF Angola WASH Challenges,https://www.unicef.org/angola/en/stories/unicef-wash-challenges-and-responses-combating-cholera-outbreak-angola,WASH challenges and responses in cholera combat,2025,WASH Response,Active,Level 2,Validated
34,GAVI Angola Borderlands,https://www.gavi.org/vaccineswork/angolas-borderlands-communities-brace-cholera,Borderlands communities cholera preparedness,2025,Vaccination Support,Active,Level 2,Validated
35,WHO OCV Stockpile,https://www.who.int/groups/icg/cholera/stockpiles,Oral cholera vaccine stockpile information,Ongoing,Vaccination Resource,Active,Level 1,Reference
36,GAVI OCV Support,https://www.gavi.org/types-support/vaccine-support/oral-cholera,GAVI oral cholera vaccine support program,Ongoing,Vaccination Support,Active,Level 2,Reference
37,PMC Global OCV Use 2013-2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC10967685/,Global oral cholera vaccine use analysis,2013-2018,Academic Research,Active,Level 1,Reference
38,ScienceDirect Global OCV Use,https://www.sciencedirect.com/science/article/pii/S0264410X19311855,Global oral cholera vaccine use scientific paper,2013-2018,Academic Research,Active,Level 1,Reference
