Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
11,AFR::ZAF,2018-10-01,2019-03-31,0,4,4,0.0,2019-04-01,9,PubMed Molecular Epidemiology 2008-2009,0.9,"Source states: 'There have been four laboratory-confirmed cases of cholera in South Africa since the Zimbabwean outbreak began' and 'one travel-related case was reported in South Africa' - interpreted as cCh=4 confirmed cases linked to Zimbabwe outbreak"
12,AFR::ZAF::Limpopo,2023-02-01,2023-06-08,0,4,,0.0,2023-06-08,6,South Africa Government Health Department,1.0,"Source states: 'Limpopo recorded 1 confirmed case during the 2023 outbreak' and later reports indicated '4 cases total' in Limpopo - interpreted as sCh=4 cases"
13,AFR::ZAF::North_West,2023-02-01,2023-06-08,0,5,,0.0,2023-06-08,6,South Africa Government Health Department,1.0,"Source states: 'North West recorded 3 confirmed cases during the February-June 2023 outbreak period, with later reports indicating 5 infections total' - interpreted as sCh=5 cases"
14,AFR::ZAF::Mpumalanga,2008-05-01,2008-07-31,5,34,,14.7,2008-08-01,12,ASM Journal Clinical Microbiology Mpumalanga 2008,1.0,"Source states: 'An outbreak of cholera due to toxigenic, antimicrobial-resistant, extended-spectrum-β-lactamase (ESBL)-producing strains of V. cholerae O1 was associated with illegal miners at a gold mine in the Ehlanzeni district of the Mpumalanga Province of South Africa between May and July 2008. Thirty-four laboratory-confirmed cases of cholera, including 5 deaths, were reported' - interpreted as cCh=34 confirmed cases, deaths=5"
15,AFR::ZAF::Mpumalanga,2008-11-01,2009-02-12,30,5489,,0.5,2009-02-12,11,Mpumalanga Health Cholera Update 2009,1.0,"Source states: 'The total cumulative number of cholera cases recorded was 5,489 since the outbreak was first detected in the province. Total number of deaths confirmed was 30, with the breakdown per municipality being: Bushbuckridge 22, Mbombela North five, Mbombela South two and Thaba Chweu one' - interpreted as sCh=5489 cases, deaths=30"
16,AFR::ZAF::Eastern_Cape::Nelson_Mandela_Bay,2023-12-07,2023-12-12,0,1,1,0.0,2023-12-12,13,Nelson Mandela Bay Municipality 2023,0.8,"Source states: 'A case of cholera has been confirmed in the Nelson Mandela Bay metro' and 'following a confirmed cholera case received by the NMBM municipal health services office, after the metro received a notification of a case of cholera (Vibrio Cholerae 01) from a resident living in Walmer Township, Gqeberha' - interpreted as cCh=1 confirmed case"
17,AFR::ZAF::Free_State::Fezile_Dabi,2023-05-17,2023-05-24,1,8,,12.5,2023-05-24,14,Free State Insider Cholera Cases 2023,0.8,"Source states: 'the cholera death toll in the province stands at one, while there have been at least eight positive cases in the province' and 'cases have centred around Vredefort, Parys, and surrounding areas of the Fezile Dabi District Municipality' - interpreted as sCh=8 cases, deaths=1"
18,AFR::ZAF::North_West::Bojanala::Rustenburg,2025-04-05,2025-04-07,0,1,1,0.0,2025-04-07,15,North West Health Rustenburg Cholera 2025,1.0,"Source states: 'The North West Department of Health confirmed one cholera case in Rustenburg on April 7, 2025' and 'The patient was admitted at Life Peglerae Hospital in Rustenburg on April 5, 2025, with medical tests confirmed by the National Institution of Communicable Disease (NICD)' - interpreted as cCh=1 confirmed case"
19,AFR::ZAF::Limpopo::Vhembe::Musina,2023-05-31,2023-05-31,0,1,,0.0,2023-05-31,16,Polity Limpopo Musina Cholera 2023,1.0,"Source states: 'Limpopo recorded its first cholera case in May 2023, with a 26-year-old Zimbabwean national reporting to Musina Hospital on Friday after experiencing severe symptoms, including vomiting and dehydration' - interpreted as sCh=1 case"
20,AFR::ZAF,2015-01-01,2017-12-31,0,0,,0.0,2018-01-01,17,CDC Emerging Infectious Diseases NICD Surveillance 2015-2017,0.9,"Source confirms zero cholera transmission during 2015-2017 period - validated absence via NICD surveillance system. Source states: 'Since the 2008–2009 outbreak, few cases have been identified: 5 during 2010–2014, most of which were imported, and none during 2015–2017' - documented as confirmed cholera-free period"
