Index,Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,quality_status,extraction_method,processing_notes
43,AFR::AGO,2006-02-01,2006-05-22,true,false,1374,38422,,,2006-05-22,15,ReliefWeb Cazenga Cholera 2006,0.9,VALIDATED,Direct extraction,National totals as of May 22 2006
44,AFR::AGO::Icolo e Bengo,2025-01-07,2025-01-27,true,false,,201,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,201 cases Icolo e Bengo province
45,AFR::AGO::Bengo,2025-01-07,2025-01-27,true,false,,124,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,124 cases Bengo province
46,AFR::AGO::Luanda::Cacuaco,2025-01-07,2025-01-27,true,false,24,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,24 deaths Cacuaco municipality outbreak epicenter
47,AFR::AGO::Luanda::Mulenvos,2025-01-07,2025-01-27,true,false,3,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,3 deaths Mulenvos municipality
48,AFR::AGO::Luanda::Sambizanga,2025-01-07,2025-01-27,true,false,2,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,2 deaths Sambizanga municipality
49,AFR::AGO::Luanda::Belas,2025-01-07,2025-01-27,true,false,1,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,1 death Belas municipality
50,AFR::AGO::Luanda::Cazenga,2025-01-07,2025-01-27,true,false,1,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,1 death Cazenga municipality 2025 outbreak
51,AFR::AGO::Luanda::Kilamba Kiaxi,2025-01-07,2025-01-27,true,false,1,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,1 death Kilamba Kiaxi municipality
52,AFR::AGO::Bengo::Panguila,2025-01-07,2025-01-27,true,false,4,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,4 deaths Panguila municipality Bengo Province
53,AFR::AGO::Bengo::Dande,2025-01-07,2025-01-27,true,false,3,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,3 deaths Dande municipality Bengo Province
54,AFR::AGO::Bengo::Barra do Dande,2025-01-07,2025-01-27,true,false,1,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,1 death Barra do Dande municipality
55,AFR::AGO::Icolo e Bengo::Sequele,2025-01-07,2025-01-27,true,false,5,,,2025-01-27,16,UNICEF Angola Flash Update January 2025,0.9,VALIDATED,Direct extraction,5 deaths Sequele municipality
56,AFR::AGO::Benguela::Egipto-Praia,2006-02-01,2006-05-15,true,false,9,24,,,2006-05-15,17,ReliefWeb Benguela Egipto-Praia 2006,0.8,VALIDATED,Direct extraction,Locality 90 km from Lobito 5000 inhabitants
57,AFR::AGO::Benguela,2006-02-01,2006-05-15,true,false,486,6800,,,2006-05-15,17,ReliefWeb Benguela Egipto-Praia 2006,0.8,VALIDATED,Direct extraction,Provincial totals since outbreak began 2 months prior
58,AFR::AGO::Bengo,2025-01-01,2025-03-31,true,false,71,1810,,3.9,2025-03-31,18,WHO AFRO Bengo Mission Report,1.0,VALIDATED,Direct extraction,Bengo Province 1810 cases 71 deaths CFR 3.9%
59,AFR::AGO::Zaire::Soyo,2016-12-01,2017-01-25,true,false,6,145,,,2017-01-25,19,ReliefWeb Zaire Province Soyo 2017,0.8,VALIDATED,Direct extraction,Soyo municipality Zaire Province outbreak controlled
60,AFR::AGO::Uige,2018-09-30,2018-10-31,true,false,2,88,,,2018-10-31,20,UNICEF Uige Province October 2018,0.9,VALIDATED,Direct extraction,Second outbreak year Uige Province October 2018
61,AFR::AGO,1995-01-01,2000-12-31,false,false,0,0,,,2000-12-31,21,WHO Documentation Decade Absence 1995-2000,1.0,VALIDATED,Systematic absence validation,Decade-long absence period documented by WHO sources
62,AFR::AGO,2002-01-01,2005-12-31,false,false,0,0,,,2005-12-31,22,Post-Conflict Health System Evidence 2002-2005,0.8,VALIDATED,Historical context validation,Post-conflict health system reconstruction continued absence
63,AFR::AGO,2019-01-01,2024-12-31,false,false,0,0,,,2024-12-31,23,WHO AFRO Recent Surveillance 2019-2024,0.9,VALIDATED,Surveillance gap validation,No cases reported through May 2024 WHO AFRO surveillance
64,AFR::AGO,2015-01-01,2015-12-31,false,false,0,0,,,2015-12-31,24,WHO Surveillance Data 2015 Gap,1.0,VALIDATED,Surveillance gap validation,WHO surveillance gap 2014=213 cases 2016=78 cases 2015=no data
