Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::NGA::Plateau::Bokkos,2026-07-01,2026-08-06,presence_confirmed_count_unknown,135,"New Telegraph / Plateau RUWASSA and UNICEF - Bokkos, Mangu and Jos North cholera outbreak, 6 August 2026",0.4,"Source states: 'The United Nations Children's Fund (UNICEF), Bauchi Field Office, has intensified its partnership with the Plateau State Government to combat a fresh cholera outbreak Ravaging Bokkos, Mangu, and Jos North Local Government Areas.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Cross_River::Calabar,1988-01-01,1989-12-31,presence_confirmed_count_unknown,150,"Utsalo, Eko et al. - cholera and Vibrio parahaemolyticus diarrhoea endemicity at University of Calabar Teaching Hospital, Cross River (West Afr J Med 1991;10:175-180 and Eur J Epidemiol 1992;8:856-860)",0.7,"Source states: 'The clinical and epidemiological features of acute vibrio diarrhoeal disease were studied in 881 patients seen at the University of Calabar Teaching Hospital (UCTH), Calabar, Nigeria, between January and December 1989. [...] Of a total of 108 (12.3%) culturally-confirmed bacterial diarrhoeas, 47 (43.5%) were due to Escherichia coli, 33 (30.6%) to Vibrio cholerae-01 (classical and El Tor biotypes) and V. parahaemolyticus [...] Most cholera case households clustered within the ancient neighbourhood of the inner city [...] Bimodal peaks of cholera episodes occurred during the dry season and appeared to coincide with acute water shortage periods in the municipality.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Delta::Ughelli,1976-04-01,1976-04-29,presence_confirmed_count_unknown,200,"WHO Weekly Epidemiological Record 1976;51(18), 30 Apr 1976 - Newly Infected Areas as on 29 April 1976 (Nigeria, Bendel State, Ughelli Province) and Nigeria cholera notifications 8-28 February 1976",0.9,Source states: 'Newly Infected Areas as on 29 April 1976 - CHOLERA - CHOLERA / Africa - Afrique / NIGERIA - NIGERIA / Bendel State / Ughelli Province' - cholera confirmed present; no case count available.,AI,
AFR::NGA::Kano,1991-05-23,1991-05-23,presence_confirmed_count_unknown,215,"WHO Weekly Epidemiological Record 1991;66(21), 24 May 1991 - Newly infected areas as at 23 May 1991, Cholera/Africa, Nigeria: Kano State",0.9,Source states: 'Newly infected areas as at 23 May 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Kano State' - cholera confirmed present; no case count available.,AI,
AFR::NGA::Bauchi,1991-08-08,1991-08-08,presence_confirmed_count_unknown,216,"WHO Weekly Epidemiological Record 1991;66(32), 9 Aug 1991 - Newly infected areas as at 8 August 1991, Cholera/Africa, Nigeria: Bauchi, Benue, Kwara, Ondo, Oyo and Sokoto States",0.9,"Source states: 'Newly infected areas as at 8 August 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Bauchi State, Benue State, Kwara State, Ondo State, Oyo State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Benue,1991-08-08,1991-08-08,presence_confirmed_count_unknown,216,"WHO Weekly Epidemiological Record 1991;66(32), 9 Aug 1991 - Newly infected areas as at 8 August 1991, Cholera/Africa, Nigeria: Bauchi, Benue, Kwara, Ondo, Oyo and Sokoto States",0.9,"Source states: 'Newly infected areas as at 8 August 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Bauchi State, Benue State, Kwara State, Ondo State, Oyo State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Kwara,1991-08-08,1991-08-08,presence_confirmed_count_unknown,216,"WHO Weekly Epidemiological Record 1991;66(32), 9 Aug 1991 - Newly infected areas as at 8 August 1991, Cholera/Africa, Nigeria: Bauchi, Benue, Kwara, Ondo, Oyo and Sokoto States",0.9,"Source states: 'Newly infected areas as at 8 August 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Bauchi State, Benue State, Kwara State, Ondo State, Oyo State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Ondo,1991-08-08,1991-08-08,presence_confirmed_count_unknown,216,"WHO Weekly Epidemiological Record 1991;66(32), 9 Aug 1991 - Newly infected areas as at 8 August 1991, Cholera/Africa, Nigeria: Bauchi, Benue, Kwara, Ondo, Oyo and Sokoto States",0.9,"Source states: 'Newly infected areas as at 8 August 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Bauchi State, Benue State, Kwara State, Ondo State, Oyo State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Oyo,1991-08-08,1991-08-08,presence_confirmed_count_unknown,216,"WHO Weekly Epidemiological Record 1991;66(32), 9 Aug 1991 - Newly infected areas as at 8 August 1991, Cholera/Africa, Nigeria: Bauchi, Benue, Kwara, Ondo, Oyo and Sokoto States",0.9,"Source states: 'Newly infected areas as at 8 August 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Bauchi State, Benue State, Kwara State, Ondo State, Oyo State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Sokoto,1991-08-08,1991-08-08,presence_confirmed_count_unknown,216,"WHO Weekly Epidemiological Record 1991;66(32), 9 Aug 1991 - Newly infected areas as at 8 August 1991, Cholera/Africa, Nigeria: Bauchi, Benue, Kwara, Ondo, Oyo and Sokoto States",0.9,"Source states: 'Newly infected areas as at 8 August 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Bauchi State, Benue State, Kwara State, Ondo State, Oyo State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Plateau,1991-10-03,1991-10-03,presence_confirmed_count_unknown,217,"WHO Weekly Epidemiological Record 1991;66(40), 4 Oct 1991 - Newly infected areas as at 3 October 1991, Cholera/Africa, Nigeria: Plateau State",0.9,Source states: 'Newly infected areas as at 3 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Plateau State' - cholera confirmed present; no case count available.,AI,
AFR::NGA::Akwa_Ibom,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::FCT,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Anambra,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Edo,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Imo,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Kaduna,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Katsina,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Lagos,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Niger,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Ogun,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Rivers,1991-10-24,1991-10-24,presence_confirmed_count_unknown,218,"WHO Weekly Epidemiological Record 1991;66(43), 25 Oct 1991 - Infected areas as at 24 October 1991, Cholera/Africa, Nigeria: all 21 states of the federation",0.9,"Source states: 'Infected areas as at 24 October 1991 - Cholera / Africa - Afrique - Nigeria - Nigeria: Akwa Ibom State, Abuja State, Anambra State, Bauchi State, Bendel State, Benue State, Borno State, Gongola State, Imo State, Kaduna State, Kano State, Katsina State, Kwara State, Lagos State, Niger State, Ogun State, Ondo State, Oyo State, Plateau State, Rivers State, Sokoto State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Taraba,1996-07-25,1996-07-25,presence_confirmed_count_unknown,220,"WHO Weekly Epidemiological Record 1996;71(30), 26 Jul 1996 - Newly infected areas as at 25 July 1996, Cholera/Africa, Nigeria: Taraba and Yobe States",0.9,"Source states: 'Newly infected areas as at 25 July 1996 - Cholera / Africa - Afrique - Nigeria - Nigeria: Taraba State, Yobe State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Yobe,1996-07-25,1996-07-25,presence_confirmed_count_unknown,220,"WHO Weekly Epidemiological Record 1996;71(30), 26 Jul 1996 - Newly infected areas as at 25 July 1996, Cholera/Africa, Nigeria: Taraba and Yobe States",0.9,"Source states: 'Newly infected areas as at 25 July 1996 - Cholera / Africa - Afrique - Nigeria - Nigeria: Taraba State, Yobe State' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno,1996-01-01,1996-07-04,presence_confirmed_count_unknown,220,"WHO Weekly Epidemiological Record 1996;71(30), 26 Jul 1996 - Newly infected areas as at 25 July 1996, Cholera/Africa, Nigeria: Taraba and Yobe States",0.9,"Source states: 'Nigeria. As of 4 July 1996, a total of 12 374 cases with 1 193 deaths have been reported since the beginning of the outbreak. The largest numbers of cases are reported from Kano, Kebbi, Borno, Oyo and Niger States.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno,2026-08-24,2026-08-31,presence_confirmed_count_unknown,224,"UN OCHA - Across six countries in West and Central Africa, cholera tests communities and OCHA's emergency response, 10 September 2026",0.7,"Source states: 'Borno State alone has recorded more than 59,000 suspected and confirmed cases and over 300 deaths as of late August. In Monguno, where thousands of displaced families live in overcrowded camps... Both girls were diagnosed with cholera and treated through interventions supported by the Nigeria Humanitarian Fund. AGENT 6 GAP-CONTEXT: this record exists to mark the 2026-08-24..2026-09-21 PUBLICATION-LAG window as a period of CONFIRMED ONGOING TRANSMISSION, not a candidate zero. Published 10 Sep 2026, i.e. inside the window, by OCHA. No count row is written because the figures are stated as lower bounds ('more than', 'over') on a vague cut date ('late August') and land on the same period as existing row 34 (Borno 2026-05-01..2026-08-31, 55452/308, UNICEF), which they corroborate rather than extend. NO ZERO ROW MAY BE WRITTEN FOR ANY PART OF 2026-08-24..2026-09-21.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa::Mubi_North,2026-01-01,2026-06-30,presence_confirmed_count_unknown,30,UNICEF Nigeria Humanitarian Situation Report No.1 Mid-Year 30 June 2026,0.8,"Source states: 'Two LGAs also reported 168 suspected cholera cases with no deaths. Response campaigns ... vaccinated 52,343 people against cholera across three wards in Mubi North and two in Mubi South. [The two reporting LGAs are identified as Mubi North and Mubi South; the 168 cases are a combined figure and are not split between them, so no count can be attributed to either LGA individually. Adamawa state total 168/0 is on file as Index 37.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa::Mubi_South,2026-01-01,2026-06-30,presence_confirmed_count_unknown,30,UNICEF Nigeria Humanitarian Situation Report No.1 Mid-Year 30 June 2026,0.8,"Source states: 'Two LGAs also reported 168 suspected cholera cases with no deaths. Response campaigns ... vaccinated 52,343 people against cholera across three wards in Mubi North and two in Mubi South. [The two reporting LGAs are identified as Mubi North and Mubi South; the 168 cases are a combined figure and are not split between them, so no count can be attributed to either LGA individually. Adamawa state total 168/0 is on file as Index 37.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Benue::Gwer_West,2005-04-11,2005-04-25,presence_confirmed_count_unknown,385,"IRIN Nigeria: Cholera outbreak kills up to 100 in Benue State, 25 April 2005",0.45,"Source states: 'New outbreaks of cholera and some deaths from the disease have also been reported in the Gwer West and Apa local council areas, just outside the state capital.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Benue::Apa,2005-04-11,2005-04-25,presence_confirmed_count_unknown,385,"IRIN Nigeria: Cholera outbreak kills up to 100 in Benue State, 25 April 2005",0.45,"Source states: 'New outbreaks of cholera and some deaths from the disease have also been reported in the Gwer West and Apa local council areas, just outside the state capital.' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Borno,1991-08-15,1991-08-15,presence_confirmed_count_unknown,390,"WHO Weekly Epidemiological Record 1991;66(33), 16 August 1991 - Nigeria cholera cumulative 1 Jan-6 Aug 1991 (revised) and newly infected areas as at 15 Aug 1991",0.9,"Source states: 'Newly infected areas as at 15 August 1991. Cholera, Africa, Nigeria - Nigeria: Borno State, Gongola State. [Earliest dated IHR notification of cholera in Borno State in 1991; the existing Borno 1991 presence record in this file is dated 24 October 1991, ten weeks later.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa,1991-08-15,1991-08-15,presence_confirmed_count_unknown,390,"WHO Weekly Epidemiological Record 1991;66(33), 16 August 1991 - Nigeria cholera cumulative 1 Jan-6 Aug 1991 (revised) and newly infected areas as at 15 Aug 1991",0.7,"Source states: 'Newly infected areas as at 15 August 1991. Cholera, Africa, Nigeria - Nigeria: Borno State, Gongola State. [HISTORICAL-UNIT MAPPING, STATED AS AN INFERENCE: the notified unit is GONGOLA STATE, which existed until 27 August 1991, when it was split into the modern Adamawa and Taraba States. Gongola's territory maps onto Adamawa plus Taraba, so the notification is recorded against both, at reduced confidence, because WHO's notification does not say which half of the old state was infected. This is the first 1991 evidence of any kind for Taraba in this file.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Taraba,1991-08-15,1991-08-15,presence_confirmed_count_unknown,390,"WHO Weekly Epidemiological Record 1991;66(33), 16 August 1991 - Nigeria cholera cumulative 1 Jan-6 Aug 1991 (revised) and newly infected areas as at 15 Aug 1991",0.7,"Source states: 'Newly infected areas as at 15 August 1991. Cholera, Africa, Nigeria - Nigeria: Borno State, Gongola State. [HISTORICAL-UNIT MAPPING, STATED AS AN INFERENCE: the notified unit is GONGOLA STATE, which existed until 27 August 1991, when it was split into the modern Adamawa and Taraba States. Gongola's territory maps onto Adamawa plus Taraba, so the notification is recorded against both, at reduced confidence, because WHO's notification does not say which half of the old state was infected. This is the first 1991 evidence of any kind for Taraba in this file.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa::Demsa,2009-08-01,2009-09-16,presence_confirmed_count_unknown,416,"IRIN via ReliefWeb: Nigeria - Officials fear cholera resurgence in north (Adamawa), 16 September 2009",0.5,"Source states: 'Demsa and Fufore districts, along with nearby Maiha, were hit with a cholera outbreak in August and September; the illness killed 70 people out of over 300 infected, according to local government official Yahaya Hamman-Julde. [The 300/70 is a COMBINED figure for the three LGAs and is recorded once as a count at ADM1 (Index 2727); this presence record identifies the individual LGA without duplicating the count.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa::Fufore,2009-08-01,2009-09-16,presence_confirmed_count_unknown,416,"IRIN via ReliefWeb: Nigeria - Officials fear cholera resurgence in north (Adamawa), 16 September 2009",0.5,"Source states: 'Demsa and Fufore districts, along with nearby Maiha, were hit with a cholera outbreak in August and September; the illness killed 70 people out of over 300 infected, according to local government official Yahaya Hamman-Julde. [The 300/70 is a COMBINED figure for the three LGAs and is recorded once as a count at ADM1 (Index 2727); this presence record identifies the individual LGA without duplicating the count.]' - cholera confirmed present; no case count available.",AI,
AFR::NGA::Adamawa::Maiha,2009-08-01,2009-09-16,presence_confirmed_count_unknown,416,"IRIN via ReliefWeb: Nigeria - Officials fear cholera resurgence in north (Adamawa), 16 September 2009",0.5,"Source states: 'Demsa and Fufore districts, along with nearby Maiha, were hit with a cholera outbreak in August and September; the illness killed 70 people out of over 300 infected, according to local government official Yahaya Hamman-Julde. [The 300/70 is a COMBINED figure for the three LGAs and is recorded once as a count at ADM1 (Index 2727); this presence record identifies the individual LGA without duplicating the count.]' - cholera confirmed present; no case count available.",AI,
