Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
11,"Mopti region MSF weekly cholera data 2011",https://www.msf.org/msf-mali-fight-cholera-epidemic,"Specific weekly cholera data for Mopti region with MSF treatment center response",2011,Humanitarian_Report,Verified,Level_2,Validated,Provincial_Level_Search,English,0,MSF_Response,WebSearch_Geographic
12,"Gao region cholera 2012-2013 ICRC response",https://www.icrc.org/en/doc/resources/documents/news-release/2012/mali-news-2012-07-05.htm,"ICRC response to cholera outbreak in Gao region northern Mali with village-level data",2012-2013,Humanitarian_Report,Verified,Level_2,Validated,Northern_Mali_Search,English,0,ICRC_Archives,WebSearch_Regional
13,"West Africa cholera outbreak 2020-2021 Mali impact",https://www.fortunejournals.com/articles/the-2021-cholera-outbreak-in-west-africa-epidemiology-and-public-health-implications.html,"Regional cholera outbreak affecting Mali with high case fatality ratio epidemiological analysis",2020-2021,Academic_Study,Verified,Level_1,Validated,Cross_Border_Analysis,English,0,Regional_Networks,WebSearch_Regional
14,"Mali Kayes region cholera 1995-2004 single epidemic",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Kayes region cholera epidemiology showing single major epidemic with high case burden",1995-2004,Academic_Study,Verified,Level_1,Validated,District_Geographic_Expansion,French,0,Academic_Literature,WebSearch_Regional
15,"Mali Sikasso region cholera 1995-2004 limited epidemics",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Sikasso region cholera showing minimal epidemic activity compared to other regions",1995-2004,Academic_Study,Verified,Level_1,Validated,District_Geographic_Expansion,French,0,Academic_Literature,WebSearch_Regional
16,"Gao region cholera August 2012 expanded outbreak",https://www.voanews.com/a/aid-agencies-combat-mali-cholera-outbreak/1491426.html,"Expanded Gao region outbreak data showing progression from initial cases to district-wide spread",2012,Humanitarian_Report,Verified,Level_2,Validated,District_Level_Expansion,English,0,Humanitarian_Response,WebSearch_Geographic
17,"Mali cholera 1984 village-level transmission study",https://pmc.ncbi.nlm.nih.gov/articles/PMC2249226/,"Detailed village-level analysis of 1984 cholera epidemic transmission patterns and case fatality",1984,Academic_Study,Verified,Level_1,Validated,Village_Level_Analysis,English,0,PMC_Studies,WebSearch_Village_Level
18,"Mali cholera absence 2022-2024 WHO surveillance validation",https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,"WHO global surveillance reports confirming Mali absent from countries reporting cholera cases 2022-2024",2022-2024,Official_Surveillance,Verified,Level_1,Validated,Zero_Transmission_Validation,English,0,WHO_ECDC,WebSearch_WHO_Surveillance
19,"Mali absent 2024 WHO AFRO cholera outbreaks regional validation",https://www.afro.who.int/health-topics/disease-outbreaks/cholera-who-african-region,"WHO African Region reports Mali absent from 14 countries affected by 2024 cholera outbreaks",2024,Official_Surveillance,Verified,Level_1,Validated,Regional_Context_Validation,English,0,WHO_AFRO,WebSearch_Regional_Validation
20,"Mali cholera interepidemic gap 1985-1994 surveillance absence",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Gap period validation between 1984 epidemic and 1995 resumption showing cholera-free decade",1985-1994,Academic_Study,Verified,Level_1,Validated,Interepidemic_Gap_Validation,English,0,Academic_Literature,WebSearch_Gap_Analysis
21,"Mali cholera surveillance system functioning DHIS2 validation",https://www.measureevaluation.org/resources/publications/fs-18-315-fr.html,"Mali surveillance system validation showing DHIS2 operational for disease reporting including cholera",2016-2024,Official_Documentation,Verified,Level_1,Validated,Surveillance_System_Validation,French,0,MEASURE_Evaluation,WebSearch_System_Validation
22,"Mali cholera absence 1998-2000 academic validation",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Academic study confirming 'From 1998 to 2000 no cholera cases were declared in Mali' - validated 3-year absence period",1998-2000,Academic_Study,Verified,Level_1,Validated,Zero_Transmission_Validation,English,0,Academic_Literature,WebSearch_Academic_Absence
23,"Mali cholera epidemiological gap 1999-2000 validation",https://www.cairn-int.info/abstract-E_SPUB_093_0263--cholera-epidemics-in-mali-between-1995.htm,"Academic literature confirming epidemiological gap in Mali cholera between 1996 outbreak and 2001 resumption",1999-2000,Academic_Study,Verified,Level_1,Validated,Epidemiological_Gap_Validation,English,0,Academic_Literature,WebSearch_Gap_Academic
24,"Mali cholera zero cases academic confirmation 1999-2000",https://www.cairn.info/revue-sante-publique-2009-3-page-263.htm,"French academic literature confirming zero cholera cases declared in Mali during 1999-2000 period with surveillance evidence",1999-2000,Academic_Study,Verified,Level_1,Validated,Academic_Zero_Confirmation,French,0,Ministry_Surveillance,WebSearch_French_Academic
