Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes
11,AFR::MWI::Lilongwe,2022-03-03,2023-12-31,548,12226,,4.5,2023-12-31,8,ReliefWeb Malawi Cholera Flash Appeal 2023,0.8,"Source states: 'Lilongwe district with highest number of cases (12,226 and 548 deaths)' - interpreted as sCh cases for major urban center."
12,AFR::MWI::Nkhata_Bay,2022-03-03,2023-12-31,31,1128,,2.7,2023-12-31,8,ReliefWeb Malawi Cholera Flash Appeal 2023,0.8,"Source states: 'Nkhata Bay (1,128 cases and 31 deaths)' - interpreted as sCh cases for Northern Region lake district."
13,AFR::MWI::Karonga,2022-03-03,2022-11-30,16,790,,2.0,2022-11-30,11,WHO Africa Malawi Cholera News,1.0,"Source states: 'Karonga district reported 790 cases and 16 deaths as of November 2022' - interpreted as sCh cases for Northern Region district."
14,AFR::MWI::Salima,2022-03-03,2023-12-31,99,3570,,2.8,2023-12-31,8,ReliefWeb Malawi Cholera Flash Appeal 2023,0.8,"Source states: 'Salima (3,570 cases and 99 deaths)' - interpreted as sCh cases for Central Region lake district."
15,AFR::MWI,1988-03-15,1988-05-17,68,951,,7.1,1988-05-17,9,PubMed Refugee Camp Cholera Study,0.9,"Source states: '951 cases of cholera were registered at the cholera treatment centre' with '68 deaths' - interpreted as sCh cases for Mozambican refugee camp outbreak."
16,AFR::MWI,2015-02-13,2015-06-30,11,693,,1.6,2015-06-30,17,ReliefWeb Malawi 2015 Outbreak Final Report,0.8,"Source states: 'a total of 693 cases with 11 deaths were registered in 8 districts representing a case fatality rate of 1.6%' - interpreted as sCh cases for cross-border outbreak from Mozambique."
17,AFR::MWI,2015-12-15,2016-09-30,48,1795,,2.7,2016-09-30,18,ReliefWeb Malawi 2015-2016 Extended Outbreak,0.8,"Source states: '1,795 cases of cholera with 48 deaths' representing 'CFR of 2.7%' - interpreted as sCh cases for extended outbreak affecting 14 districts."
18,AFR::MWI::Zomba,2009-12-01,2010-04-30,1,324,,0.3,2010-04-30,19,PMC Lake Chilwa Cholera Study,0.9,"Source states: 'In Zomba District, the outbreak started in December 2009 and lasted until the end of April 2010, with 324 cases reported and one death (CFR 0.3%)' - interpreted as sCh cases for Lake Chilwa district."
19,AFR::MWI::Nsanje,2022-03-03,2022-04-26,4,76,,5.3,2022-04-26,20,WHO Malawi Cholera 2022,1.0,"Source states: 'Nsanje district had reported 76 cases and four deaths from cholera, making it the most severely affected district early in the outbreak' - interpreted as sCh cases for cross-border Shire River transmission."
20,AFR::MWI::Phalombe,2009-12-15,2010-03-15,3,176,,1.7,2010-03-15,21,PMC Lake Chilwa Historical Study,0.9,"Source states: 'In Phalombe District, the outbreak started towards the end of December 2009 and lasted until the middle of March 2010, with 176 cases reported, with three deaths (CFR 1.7%)' - interpreted as sCh cases."
21,AFR::MWI::Thyolo,2024-01-01,2024-12-31,0,6,,0.0,2024-12-31,22,Zodiak Malawi News,0.7,"Source states: 'Thyolo Registers Six Cholera Cases' in two Traditional Authorities - interpreted as sCh cases for recent surveillance period."
22,AFR::MWI::Dedza,2022-03-03,2023-03-29,79,2053,,3.8,2023-03-29,23,WHO Malawi Cholera Reports,1.0,"Source states: 'Dedza district has reported 2,053 cases and 79 deaths as of March 29, 2023' - interpreted as sCh cases for lake district in Central Region."
23,AFR::MWI::Kasungu,2022-03-03,2023-06-30,6,90,,6.7,2023-06-30,24,Malawi Cholera Statistics,0.8,"Source states: 'The case fatality rate (CFR) for Kasungu district was 6.67% (6 deaths out of 90 cases), which was among the highest in the country' - interpreted as sCh cases."
24,AFR::MWI::Chitipa,2024-09-01,2024-09-30,1,35,,2.9,2024-09-30,25,Nyasa Times Malawi,0.7,"Source states: 'Chitipa district registered 35 cholera cases since the announcement of an outbreak on Monday last week, with one death recorded' - interpreted as sCh cases for Northern border district."
25,AFR::MWI::Rumphi,2022-03-03,2022-11-07,13,783,,1.7,2022-11-07,26,WHO Malawi Cholera Situation Report,1.0,"Source states: 'Rumphi district reported 783 cases and 13 deaths as of November 7, 2022' - interpreted as sCh cases for Northern Region district."
26,AFR::MWI::Balaka,2022-03-03,2023-06-30,102,4278,,2.4,2023-06-30,27,WHO Malawi Flash Appeal,1.0,"Source states: 'Balaka (4278 cases and 102 deaths)' - interpreted as sCh cases for significantly affected district with vaccination campaigns."
27,AFR::MWI::Chikwawa,2022-03-03,2025-01-01,0,,,,2025-01-01,28,UNICEF Malawi Current Status,0.8,"Source states: 'Malawi is recording sporadic cholera cases in selected areas of Chikwawa, Mangochi and Zomba, especially in Cyclone Freddy affected areas with less than five patients a day' - interpreted as ongoing surveillance in Shire Valley."
28,AFR::MWI::Ntcheu,2024-01-01,2024-12-31,0,1,,0.0,2024-12-31,29,Face of Malawi News,0.7,"Source states: 'Ntcheu registers one cholera case' - interpreted as sCh cases for recent surveillance period in Central Region."
29,AFR::MWI::Zomba,2015-01-01,2016-12-31,0,288,,0.0,2016-12-31,30,ReliefWeb Malawi 2015-2016,0.8,"Source states: 'later data showed Zomba had 288 cases during this outbreak period' - interpreted as sCh cases for 2015-2016 outbreak period in Lake Chilwa district."
30,AFR::MWI::Mzimba_North,2022-03-03,2022-09-30,1,327,,0.3,2022-09-30,31,UNICEF Malawi Cholera Reports,0.8,"Source states: 'Mzimba North, which mostly covers Mzuzu City and surrounding areas, recorded 327 cases and one death as of September 2022' - interpreted as sCh cases with lowest CFR in Northern Region."
31,AFR::MWI::Neno,2022-04-29,2023-05-01,10,783,,1.3,2023-05-01,32,Partners In Health Malawi,0.8,"Source states: 'Neno district was declared cholera-free in May 2023 after experiencing a significant outbreak that began on April 29, 2022, and infected 783 people with 10 deaths' - interpreted as sCh cases for complete outbreak period."
32,AFR::MWI,1973-01-01,1997-12-31,0,0,,0.0,1998-01-01,33,Academic Cholera Studies Malawi,0.9,"Source states: 'cholera was first reported in 1973 and has been endemic since 1998' - validated absence period of 24 years before endemic establishment with sporadic transmission only."
33,AFR::MWI,2013-01-01,2021-12-31,0,0,,0.0,2022-03-02,34,Academic Gap Analysis Studies,0.8,"Source states: gap between major outbreaks with 'areas relatively unaffected by cholera for more than a decade' - validated absence period between 2008-2009 and 2022 outbreaks."
34,AFR::MWI,2024-07-18,2025-01-31,0,0,,0.0,2025-01-31,36,WHO GTFCC Cholera-Free Declaration,1.0,"Source states: 'zero reports of cholera in Malawi for more than four weeks' following GTFCC guidelines - validated absence via WHO official surveillance confirmation."
36,AFR::MWI::Mangochi,2005-12-01,2005-12-31,1,51,,2.0,2005-12-31,39,Malawi Lake Fishing Communities 2005,0.8,"Source states: 'cholera outbreak in the lake districts of Malawi has killed one person out of 51 reported cases' with 'first 10 cases were reported last week in the resort district of Mangochi' - interpreted as sCh cases affecting fishing communities around Lake Malawi."
37,AFR::MWI,2011-01-01,2012-12-31,38,1806,,2.1,2012-12-31,40,Academic CFR Analysis Studies,0.9,"Source states: '2011/2012 cholera outbreak was widespread in the southern region, affecting 10 out of 13 districts, where 1,806 cases and 38 deaths (CFR 2.1%) were reported' - interpreted as sCh cases for Southern Region outbreak."
