Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
11,WHO Africa Malawi Cholera News,https://www.afro.who.int/countries/malawi/news/malawi-contains-cholera-outbreak,WHO Africa regional office outbreak containment report,2023,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,0,WHO official reporting,Gap_targeted_search
12,PLOS One Cost-of-Illness Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185041,Cost analysis study of cholera in Machinga and Zomba districts,2016-2017,Academic_Research,Validated,Level_1,Validated,WebSearch,English,0,Ministry of Health data,Historical_systematic_search
13,ReliefWeb Mozambique-Malawi Outbreak 2015,https://reliefweb.int/disaster/ep-2015-000015-moz,ReliefWeb cross-border outbreak report 2015,2015,Surveillance_Data,Validated,Level_2,Validated,WebSearch,English,0,Ministry of Health cross-border,Gap_targeted_search
14,IFRC Malawi Cholera Response,https://www.ifrc.org/press-release/malawi-red-cross-scales-response-worst-cholera-outbreak-two-decades,IFRC Red Cross emergency response with case data,2022-2023,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,0,Ministry of Health collaboration,Gap_targeted_search
15,Gavi Cholera Vaccination Malawi,https://www.gavi.org/vaccineswork/cholera-vaccine-slows-down-prolonged-outbreak-malawi,Gavi vaccination program data and case statistics,2022-2023,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,0,WHO partnership data,Gap_targeted_search
16,WaterAid Malawi WASH Intervention,https://www.wateraid.org/uk/media/new-cholera-data-across-southern-africa,WaterAid WASH intervention impact assessment,2022-2023,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,0,Government partnership,Gap_targeted_search
17,ReliefWeb Malawi 2015 Outbreak Final Report,https://reliefweb.int/disaster/ep-2015-000015-moz,ReliefWeb comprehensive 2015 cholera outbreak surveillance data,2015,Surveillance_Data,Validated,Level_2,Validated,WebSearch,English,0,Ministry of Health Malawi,Gap_targeted_search
18,ReliefWeb Malawi 2015-2016 Extended Outbreak,https://reliefweb.int/disaster/ep-2015-000184-mwi,ReliefWeb extended 2015-2016 cholera outbreak final statistics,2015-2016,Surveillance_Data,Validated,Level_2,Validated,WebSearch,English,0,Malawi surveillance system,Gap_targeted_search
19,PMC Lake Chilwa Cholera Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3588220/,Lake Chilwa cholera outbreak study with district-level analysis,2009-2010,Academic_Research,Validated,Level_2,Validated,WebSearch,English,2,PubMed references,Geographic_expansion_search
20,WHO Malawi Cholera 2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,WHO official cholera outbreak reports for Malawi 2022,2022,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,1,Government sources,Geographic_expansion_search
21,PMC Lake Chilwa Historical Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC3588220/,Historical analysis of Lake Chilwa cholera outbreaks,2009-2010,Academic_Research,Validated,Level_2,Validated,WebSearch,English,2,Academic citations,Geographic_expansion_search
22,Zodiak Malawi News,https://zodiakmalawi.com/nw/national-news/66-news-in-southern-region/6816-thyolo-registers-six-cholera-cases,Local news reporting current cholera surveillance,2024,News_Report,Validated,Level_3,Validated,WebSearch,English,1,Local media,Geographic_expansion_search
23,WHO Malawi Cholera Reports,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,WHO comprehensive cholera outbreak documentation,2022-2023,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,1,WHO surveillance,Geographic_expansion_search
24,Malawi Cholera Statistics,https://www.voanews.com/a/malawi-controls-deadliest-cholera-outbreak-in-history-/7143651.html,National cholera statistics with district CFR analysis,2022-2023,Statistical_Report,Validated,Level_2,Validated,WebSearch,English,1,Government data,Geographic_expansion_search
25,Nyasa Times Malawi,https://www.nyasatimes.com/whats-wrong-with-chitipa-district-malawians-ask-as-cholera-cases-rises-to-35-in-a-week/,Current cholera surveillance reporting for northern districts,2024,News_Report,Validated,Level_3,Validated,WebSearch,English,1,Local news,Geographic_expansion_search
26,WHO Malawi Cholera Situation Report,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,Official WHO situation reports on Malawi cholera outbreak,2022,Surveillance_Data,Validated,Level_1,Validated,WebSearch,English,1,WHO documentation,Geographic_expansion_search
27,WHO Malawi Flash Appeal,https://reliefweb.int/report/malawi/malawi-cholera-flash-appeal-2023-february-june-2023,WHO emergency response and district breakdown data,2023,Emergency_Report,Validated,Level_1,Validated,WebSearch,English,1,WHO appeals,Geographic_expansion_search
28,UNICEF Malawi Current Status,https://www.unicef.org/malawi/stories/locals-fight-cholera-hygiene-campaigns,Current cholera surveillance status in affected districts,2025,Surveillance_Update,Validated,Level_2,Validated,WebSearch,English,1,UNICEF reports,Geographic_expansion_search
29,Face of Malawi News,https://www.faceofmalawi.com/2024/12/16/ntcheu-registers-one-cholera-case/,Recent cholera case reporting and surveillance activities,2024,News_Report,Validated,Level_3,Validated,WebSearch,English,1,Local media,Geographic_expansion_search
30,ReliefWeb Malawi 2015-2016,https://reliefweb.int/disaster/ep-2015-000184-mwi,Historical cholera outbreak data for 2015-2016 period,2015-2016,Historical_Report,Validated,Level_2,Validated,WebSearch,English,1,Relief agencies,Geographic_expansion_search
31,UNICEF Malawi Cholera Reports,https://www.unicef.org/malawi/reports/action-against-cholera,UNICEF cholera response reports with district-level statistics,2022,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,1,UNICEF data,Geographic_expansion_search
32,Partners In Health Malawi,https://www.pih.org/article/cholera-outbreak-spreads-through-southern-malawi,Partners In Health cholera response documentation,2022-2023,Humanitarian_Report,Validated,Level_2,Validated,WebSearch,English,1,NGO reports,Geographic_expansion_search
34,Academic Cholera Studies Malawi,https://pubmed.ncbi.nlm.nih.gov/24916870/,Academic studies documenting cholera endemic establishment,1973-1998,Academic_Research,Validated,Level_1,Validated,WebSearch,English,2,Historical references,Zero_transmission_validation
35,Academic Gap Analysis Studies,https://pmc.ncbi.nlm.nih.gov/articles/PMC3588220/,Academic research documenting gaps between major outbreaks,2013-2021,Academic_Research,Validated,Level_2,Validated,WebSearch,English,1,Outbreak analysis,Zero_transmission_validation
36,WHO GTFCC Cholera-Free Declaration,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,WHO GTFCC guidelines for cholera-free declaration methodology,2024-2025,Surveillance_Guidelines,Validated,Level_1,Validated,WebSearch,English,1,WHO protocols,Zero_transmission_validation
37,ReliefWeb Historical Outbreak 2015,https://reliefweb.int/disaster/ep-2015-000015-moz,ReliefWeb documentation of 2015 cross-border outbreak,2015,Surveillance_Data,Validated,Level_2,Validated,WebSearch,English,1,Cross-border data,Source_permutation_search
38,ReliefWeb Extended Outbreak 2015-2016,https://reliefweb.int/disaster/ep-2015-000184-mwi,ReliefWeb final report on extended 2015-2016 outbreak,2015-2016,Surveillance_Data,Validated,Level_2,Validated,WebSearch,English,1,Multi-year data,Source_permutation_search
39,Malawi Lake Fishing Communities 2005,https://reliefweb.int/report/malawi/cholera-outbreak-malawi-kills-one,Historical report of December 2005 cholera outbreak in fishing communities,2005,Historical_Report,Validated,Level_2,Validated,WebSearch,English,1,Lake transmission,Source_permutation_search
40,Academic CFR Analysis Studies,https://pubmed.ncbi.nlm.nih.gov/24916870/,Academic analysis of case fatality rates in Malawi outbreaks,2011-2012,Academic_Research,Validated,Level_1,Validated,WebSearch,English,2,Epidemiological data,Source_permutation_search
