Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Discovery_Method,Language_Original,Citation_Depth,Cross_References
1,WHO Disease Outbreak News 2006 Initial,https://www.who.int/emergencies/disease-outbreak-news/item/2006_05_10-en,Initial 2006 outbreak report - 30612 cases 1156 deaths,2006-02-19 to 2006-05-08,Official WHO Report,Active,Level 1,Validated,WHO Database Search,English,0,WHO DON 2006 Updates
12,ScienceDirect Transmission Modeling,https://www.sciencedirect.com/science/article/abs/pii/S0022519313000039,Mathematical modeling of 2006 Angola cholera outbreak transmission pathways,2006,Academic Literature,Access Restricted,Level 1,Reference
13,WHO AFRO Cholera Strengthening Angola,https://www.afro.who.int/countries/angola/news/strengthening-active-cholera-case-finding-angola,WHO AFRO news on strengthening cholera case finding,2024-2025,WHO Regional News,Active,Level 1,Validated
14,WHO AFRO Angola Data Management,https://www.afro.who.int/countries/angola/news/angola-enhances-data-management-combat-cholera-outbreak,WHO AFRO news on data management enhancement,2025,WHO Regional News,Active,Level 1,Validated
15,ReliefWeb Angola 2006 Update,https://reliefweb.int/report/angola/cholera-angola-update-18-may-2006,ReliefWeb cholera situation update May 2006,2006-05-18,Humanitarian Information,Active,Level 2,Validated
16,MSF Angola Cholera Treatment,https://www.msf.org/cholera-angola-second-deadly-epidemic-outbreak-year,MSF operational response to Angola cholera outbreaks,2006-2018,Operational Response,Active,Level 2,Validated
17,PMC Angola Cholera Prevention,https://pmc.ncbi.nlm.nih.gov/articles/PMC1471924/,Academic analysis of Angola cholera epidemic prevention,2006,Academic Literature,Active,Level 1,Validated
18,UNICEF Angola 2025 Situation Report,https://www.unicef.org/documents/unicef-angola-situation-report-no-3-cholera-outbreak-17-february-2025,UNICEF 2025 cholera outbreak situation report,2025-01-07 to 2025-02-17,Humanitarian Response,Active,Level 2,Validated
19,Portuguese WHO AFRO News,https://www.afro.who.int/pt/countries/angola/news/surto-de-colera-em-angola-fortalecendo-capacidade-de-resposta-e-promovendo-resiliencia-comunitaria,Portuguese language WHO AFRO cholera outbreak response,2025,WHO Regional News,Active,Level 1,Validated
20,UN News Portuguese Coverage,https://news.un.org/pt/story/2025/02/1845326,UN News Portuguese language cholera outbreak coverage,2025,International News,Active,Level 3,Validated
21,Angola 2009 Flood Cholera Update,https://reliefweb.int/report/angola/angola-flood-and-cholera-update-situation-report-no-3-01-apr-2009,Flood and cholera situation report April 2009 - 22 cases reported,2009-03-22 to 2009-03-28,Humanitarian Response,Active,Level 2,Validated
22,UNICEF Angola April 2006 Report,https://reliefweb.int/report/angola/unicef-angola-cholera-outbreak-situation-report-21-apr-2006,UNICEF 2006 outbreak interim report - 13819 cases 646 deaths,2006-04-18,Humanitarian Response,Active,Level 2,Validated
23,WHO GHO Angola Data 1989-1996,https://apps.who.int/gho/athena/data/xmart.csv,WHO Global Health Observatory Angola cholera annual surveillance,1989-1996,Official WHO Database,Active,Level 1,Validated
24,Angola 2025 District Level Data,https://allafrica.com/stories/202503310395.html,District and municipality level cholera data 2025 outbreak,2025,News Media,Active,Level 3,Validated
25,MSF Angola Cholera Two Waves 2006,https://www.doctorswithoutborders.org/latest/cholera-angola-second-deadly-outbreak-year,MSF documentation of 2006 two-wave outbreak pattern,2006,Operational Response,Active,Level 2,Validated
26,Angola Climate Cholera Correlation,https://www.sciencedirect.com/science/article/pii/S0048969724020394,Environmental factors and cholera seasonality analysis,2010-2020,Academic Literature,Active,Level 1,Validated
27,WHO Annual Cholera 2007-2009,https://apps.who.int/gho/data/node.main.174,WHO surveillance data Angola 2007-2009 annual cases,2007-2009,Official WHO Database,Active,Level 1,Validated
28,ProMED Angola Historical Coverage,https://academic.oup.com/inthealth/article/9/3/177/3861034,ProMED-mail surveillance system Angola historical coverage,1994-2025,Surveillance System,Active,Level 2,Validated
29,Luanda Cholera 1992 Early Stage Study,https://pubmed.ncbi.nlm.nih.gov/8307144/,Early stage recurrent cholera epidemic Luanda Q1 1992 - 350 cases,1992-01-01 to 1992-03-31,Academic Literature,Active,Level 1,Validated,PubMed Search,English,0,Academic Medical Research
