Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
12,UNICEF Angola Situation Report No. 4 Cholera 2025,https://reliefweb.int/report/angola/unicef-angola-situation-report-no-4-cholera-outbreak-11-march-2025,2025 outbreak comprehensive provincial data,2025-01-07 to 2025-03-11,Humanitarian Response,Active,Level 2,Validated,Agent 2 Geographic Expansion,English,0,Updated Provincial Data,Provincial Geographic Mining
13,WHO Angola Cholera Flash Update 2025,https://www.afro.who.int/countries/angola/publication/who-angola-cholera-flash-update-2,WHO 2025 outbreak provincial surveillance,2025-01-07 to 2025-01-26,Official Surveillance,Active,Level 1,Validated,Agent 2 Geographic Expansion,English,0,UNICEF Cross-reference,WHO GHO Module
14,WHO DON Angola Cholera 2025,https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON562,WHO 2025 outbreak global surveillance report,2025-01-07 to 2025-03-23,Official Surveillance,Active,Level 1,Validated,Agent 2 Geographic Expansion,English,0,Provincial Breakdown,WHO GHO Module
15,WHO Angola Field Support Benguela Kwanza Sul,https://www.afro.who.int/countries/angola/news/who-strengthens-field-presence-and-support-cholera-response-during-high-level-visit-kwanza-sul-and,WHO field presence and provincial case trends,2025,Official Surveillance,Active,Level 1,Validated,Agent 2 Geographic Expansion,English,0,Provincial Response,WHO GHO Module
16,BMC DRC-Angola Cross-Border Cholera Study,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06986-9,Enhanced cross-border transmission analysis,1973-2018,Academic Literature,Active,Level 1,Validated,Agent 2 Geographic Expansion,English,1,DRC Angola Transmission,Cross-Border Intelligence
17,WHO Global Health Observatory Surveillance Data 1988-1996,https://www.who.int/emergencies/surveillance/cholera-cases-and-deaths,WHO surveillance cholera cases Angola 1988-1996,1988-1996,Official Surveillance,Active,Level 1,Validated,Agent 3 Temporal Drilling,English,0,WHO WER Archives,Systematic Year-by-Year Mining
18,CDC MMWR Cholera Worldwide 1989,https://www.cdc.gov/mmwr/preview/mmwrhtml/00001634.htm,Global cholera surveillance 1989 including Angola,1989,Official Surveillance,Active,Level 1,Validated,Agent 3 Temporal Drilling,English,0,WHO Cross-reference,Historical Archive Mining
19,WHO AFRO Angola Preparedness Zero-Transmission Validation,https://www.afro.who.int/countries/angola/news/cholera-outbreak-angola-strengthening-response-capacity-and-promoting-community-resilience,WHO surveillance validation of cholera-free period 1997-2005,1997-2005,Official Surveillance,Active,Level 1,Validated,Agent 3 Zero-Transmission Validation,English,0,WHO AFRO Records,Evidence-Based Absence Documentation
20,Lancet Global Health Sub-Saharan Cholera Seasonality Study,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(22)00007-9/fulltext,Seasonal patterns and transmission dynamics Angola,1980-2020,Academic Literature,Active,Level 1,Validated,Agent 3 Seasonal Pattern Analysis,English,1,Statistical Modeling,Cross-Border Temporal Correlation
21,WHO Multi-Country Cholera Outbreak Sitrep 2025,https://www.who.int/publications/m/item/multi-country-outbreak-of-cholera--external-situation-report--23--20-february-2025,Weekly surveillance progression 2025 Angola outbreak,2025,Official Surveillance,Active,Level 1,Validated,Agent 3 Enhanced Weekly Surveillance,English,0,WHO Global Surveillance,Real-Time Outbreak Tracking
22,SADC Extra Ordinary Summit Cholera 2025,https://www.sadc.int/latest-news/sadc-hold-virtual-extra-ordinary-summit-heads-state-and-government-2nd-february-2024,SADC regional coordination Angola chairmanship cholera response,2024-2025,Regional Coordination,Active,Level 2,Validated,Agent 4 Obscure Source Expansion,English,0,Regional Health Coordination,Beyond-Suggested Regional Archives
23,African Union Cholera Response 2025,https://au.int/en/pressreleases/20250605/african-leaders-africa-cdc-and-partners-unite-bold-drive-fight-cholera,Continental cholera response Angola leadership coordination,2025,Regional Coordination,Active,Level 2,Validated,Agent 4 Obscure Source Expansion,English,0,Continental Health Response,Beyond-Suggested Regional Archives
24,China Daily Angola Cholera January 2025,https://www.chinadaily.com.cn/a/202501/13/WS6784dda0a310f1265a1da859.html,Alternative media source specific case data,2025-01-13,Alternative Media,Active,Level 3,Validated,Agent 4 Obscure Source Expansion,English,0,Chinese Medical Cooperation,Beyond-Suggested Alternative Media
25,AllAfrica Angola Cholera Crisis April 2025,https://allafrica.com/stories/202504010042.html,Community surveillance field reports demographic data,2025-04-01,Community Surveillance,Active,Level 3,Validated,Agent 4 Obscure Source Expansion,English,0,Community Field Reporting,Beyond-Suggested Community Sources
26,Portuguese Colonial Medical Services PMC Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC6158648/,Historical colonial medical infrastructure context,1920-1963,Historical Context,Active,Level 1,Validated,Agent 4 Obscure Source Expansion,English,1,Colonial Health Administration,Beyond-Suggested Historical Archives
