Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Access_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,AI_Confidence,Processing_Stage,Geographic_Scope,Temporal_Granularity,Discovery_Method
11,Frontiers Academic Study,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00354/full,"Academic study on Vibrio cholerae variants in Angola 1992-2006",1992-2006,Academic research,Extracted,0.85,Accessible,WebSearch + WebFetch,English,Peer-reviewed,Multiple citations,0.85,Phase1-Academic,Provincial (5 provinces),Multi-year,Academic systematic search
12,PubMed Early Study,https://pubmed.ncbi.nlm.nih.gov/8307144/,"Early academic study on cholera epidemic in Luanda Angola",1992,Academic research,Extracted,0.80,Accessible,WebSearch + WebFetch,English,Peer-reviewed,Historical context,0.80,Phase1-Academic,Luanda Province,Quarterly,PubMed systematic search
13,PubMed African Cholera Study,https://pubmed.ncbi.nlm.nih.gov/24827501/,"Academic study on cholera outbreaks across Africa including Angola",1970-2011,Academic research,Extracted,0.80,Accessible,WebSearch + WebFetch,English,Peer-reviewed,Regional comparison,0.75,Phase1-Academic,Regional + Angola,Multi-decade,PubMed systematic search
14,PMC Cholera Burden Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11891530/,"Academic study on cholera burden in WHO African region 2000-2023",2000-2023,Academic research,Extracted,0.85,Accessible,WebSearch + WebFetch,English,Peer-reviewed,WHO data analysis,0.80,Phase1-Academic,Regional + Angola,Annual,PMC systematic search
15,Lancet Global Action,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(25)00240-5/fulltext,"Lancet commentary on Angola cholera outbreak as global wake-up call",2025,Academic commentary,Restricted,0.90,Restricted,WebSearch,English,Peer-reviewed,Global context,0.75,Phase1-Academic,National,Current,Academic systematic search
16,MSF Angola Cholera Response,https://www.msf.org/cholera-angola-second-deadly-epidemic-outbreak-year,"MSF report on cholera response and treatment centers in Angola",2006,Operational response,Extracted,0.85,Accessible,WebSearch,English,Operational,MSF treatment data,0.85,Phase1-Humanitarian,Treatment centers,Outbreak period,MSF systematic search
17,MSF Cholera Treatment Centers,https://www.msf.org/number-infected-people-reaches-20000-response-angola-cholera-epidemic-remains-insufficient,"MSF report on treatment center capacity and patient numbers",2006,Operational response,Extracted,0.85,Accessible,WebSearch,English,Operational,Treatment statistics,0.85,Phase1-Humanitarian,Multiple provinces,Daily,MSF systematic search
18,Africa CDC Angola Support,https://africacdc.org/news-item/africa-cdc-supports-angola-to-fight-cholera/,"Africa CDC support documentation for Angola cholera response",2025,Response documentation,Identified,0.80,Accessible,WebSearch,English,Institutional,Regional coordination,0.75,Phase1-WHO-Official,National,Current,African institutions search
19,Angola Ministry Health,https://minsa.gov.ao/web/noticias/comissao-intersectorial-avalia-medidas-de-prevencao-e-combate-contra-a-colera,"Angola MINSA intersectoral commission evaluation of cholera prevention",2025,Government surveillance,Extracted,0.90,Accessible,WebSearch + WebFetch,Portuguese,Primary,Government response,0.85,Phase1-Portuguese,National,Current,Portuguese systematic search
20,Angola MINSA Vaccination,https://minsa.gov.ao/web/noticias/minsa:-governo-lanca-campanha-de-vacinacao-contra-a-colera,"Angola MINSA vaccination campaign launch announcement",2025,Government response,Identified,0.85,Accessible,WebSearch,Portuguese,Primary,Vaccination coordination,0.80,Phase1-Portuguese,National,Campaign period,Portuguese systematic search
21,UNICEF Angola Portuguese,https://www.unicef.org/angola/colera,"UNICEF Angola cholera page in Portuguese language",2025,Current response,Identified,0.90,Accessible,WebSearch,Portuguese,Primary,UNICEF coordination,0.85,Phase1-Portuguese,National,Current,Portuguese systematic search
22,UN Angola Portuguese,https://angola.un.org/pt/288349-surto-de-cólera-em-angola-reforçar-capacidade-de-resposta-e-promover-resiliência-das,"UN Angola report on cholera outbreak response capacity building",2025,UN coordination,Identified,0.90,Accessible,WebSearch,Portuguese,Primary,UN system response,0.85,Phase1-Portuguese,National,Current,Portuguese systematic search
23,WHO AFRO Portuguese,https://www.afro.who.int/pt/countries/angola/news/surto-de-colera-em-angola-fortalecendo-capacidade-de-resposta-e-promovendo-resiliencia-comunitaria,"WHO AFRO Angola cholera outbreak report in Portuguese",2025,WHO documentation,Identified,0.95,Accessible,WebSearch,Portuguese,Primary,WHO multilingual,0.90,Phase1-Portuguese,National,Current,Portuguese systematic search
24,Historical 1987 Outbreak,Multiple sources,"Cholera outbreak documentation for Angola 1987 epidemic",1987,Historical outbreak,Composite,0.75,Multiple,Historical search,English,Secondary,Multiple historical,0.70,Phase1-Historical,National (18 provinces),Annual,Historical systematic search
25,WHO Historical Data,Multiple WHO sources,"WHO historical cholera surveillance data for Angola",1989-2017,Annual surveillance,Composite,0.80,Multiple,Historical search,English,Database,WHO GHO linkage,0.75,Phase1-Historical,National,Annual,WHO archives search
26,ResearchGate Angola Study,https://www.researchgate.net/publication/393640442_Colera_em_Angola_Causas_Consequencias_e_as_Possiveis_Estrategias_de_Mitigacao,"Portuguese academic paper on cholera causes and mitigation strategies",2024,Academic research,Identified,0.75,Accessible,WebSearch,Portuguese,Academic,Mitigation strategies,0.70,Phase1-Portuguese,National,Current,Portuguese academic search
27,PMC Africa Cholera History,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3310476/,"Academic study on cholera pandemic history in Africa including Angola",1817-2012,Historical analysis,Identified,0.85,Accessible,Historical search,English,Peer-reviewed,Continental context,0.80,Phase1-Historical,Continental + Angola,Multi-century,Historical pandemic search
28,CIDRAP Angola Report,https://www.cidrap.umn.edu/cholera/cholera-spreading-across-angola-more-8500-cases,"CIDRAP report on cholera spreading across Angola",2025-03,Surveillance reporting,Identified,0.80,Accessible,WebSearch,English,News/Academic,Global surveillance,0.75,Phase1-Academic,National,Current,Academic news search
29,WHO 2006 Update Series,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_06a-en,"WHO Disease Outbreak News update 3 on 2006 Angola outbreak",2006-06-06,Historical outbreak,Identified,1.0,Accessible,Historical search,English,Primary,WHO DON series,0.95,Phase1-Historical,National,Daily,WHO historical systematic
30,WHO 2006 Final Update,https://www.who.int/emergencies/disease-outbreak-news/item/2006_06_09-en,"WHO Disease Outbreak News update 4 on 2006 Angola outbreak",2006-06-09,Historical outbreak,Identified,1.0,Accessible,Historical search,English,Primary,WHO DON series,0.95,Phase1-Historical,National,Daily,WHO historical systematic
31,WHO Annual Surveillance 2008-2010,WHO surveillance databases,"WHO annual cholera surveillance data for Angola 2008-2010",2008-2010,Annual surveillance,Composite,0.85,Database access,Expanded search,English,Primary,WHO GHO,0.85,Expanded-Search,National,Annual,WHO database expanded
32,Provincial 2016-2017 Breakdown,Government sources,"Provincial breakdown of 2016-2017 outbreak data",2016-2017,Provincial outbreak,Composite,0.80,Government access,Expanded search,Portuguese/English,Secondary,Government reports,0.80,Expanded-Search,Provincial,Annual,Government expanded search
33,Benguela Province 2007,Provincial surveillance,"Benguela province cholera data first half 2007",2007-01-01 to 2007-06-30,Provincial data,Composite,0.80,News/Provincial,Expanded search,Portuguese,Secondary,Provincial reports,0.75,Expanded-Search,Provincial,Semi-annual,Provincial news expanded
34,Municipal Breakdown 2025,Municipal surveillance,"Municipal-level breakdown Luanda province 2025",2025-01-27,Municipal data,Composite,0.75,Municipal sources,Expanded search,Portuguese/English,Tertiary,Municipal surveillance,0.75,Expanded-Search,Municipal,Weekly,Municipal expanded search
35,Attack Rate Data 2006,WHO epidemiological,"Provincial attack rates 2006 outbreak period",2006-05-31,Epidemiological indicators,Inferred,0.85,WHO surveillance,Expanded search,English,Primary,WHO epidemiology,0.85,Expanded-Search,Provincial,Outbreak period,WHO epidemiological expanded
36,Outbreak Progression 2025,Multiple current sources,"Temporal progression data 2025 outbreak January-July",2025-01-01 to 2025-07-31,Current outbreak temporal,Composite,0.85,Multiple access,Expanded search,English,Secondary,WHO/UNICEF/News,0.85,Expanded-Search,National,Weekly/Monthly,Current outbreak expanded
37,District Level 2025,Local surveillance,"District and neighborhood level data 2025 outbreak",2025-01-07 to 2025-01-31,District/neighborhood,Composite,0.70,Local sources,Expanded search,Portuguese/English,Tertiary,Local surveillance,0.70,Expanded-Search,District,Daily/Weekly,Local source expanded
38,French DRC Cross-Border,French surveillance sources,"DRC cholera patterns for cross-border validation",2000-2020,Cross-border validation,Reference,0.75,Academic/Government,Expanded search,French,Secondary,DRC surveillance,0.75,Expanded-Search,Regional,Annual,French language expanded
39,Additional WHO Temporal,WHO detailed reports,"Additional WHO temporal breakdown points 2006-2007",2006-2007,Historical temporal,Extracted,1.0,Accessible,Expanded search,English,Primary,WHO DON,0.95,Expanded-Search,National,Daily/Weekly,WHO temporal expanded
40,WHO Annual Surveillance 2007,WHO surveillance systems,"WHO annual surveillance data for Angola 2007",2007,Annual surveillance,Composite,0.90,WHO databases,Temporal search,English,Primary,WHO GHO,0.90,Temporal-Analysis,National,Annual,WHO annual surveillance
41,WHO Annual Surveillance 2014,WHO surveillance systems,"WHO annual surveillance data for Angola 2014",2014,Annual surveillance,Composite,0.90,WHO databases,Temporal search,English,Primary,WHO GHO,0.90,Temporal-Analysis,National,Annual,WHO annual surveillance
42,Cholera-Free Decade Documentation,Multiple historical sources,"Documentation of Angola's cholera-free decade 1997-2005",1997-2005,Cholera-free periods,Composite,0.85,Historical sources,Historical analysis,English,Secondary,WHO/Academic,0.85,Temporal-Analysis,National,Annual,Historical cholera-free search
43,Post-Outbreak Cholera-Free Periods,WHO surveillance gaps,"Cholera-free periods inferred from surveillance gaps 2017-2024",2017-2024,Cholera-free periods,Inferred,0.70-0.80,Surveillance inference,Temporal analysis,English,Secondary,WHO surveillance,0.75,Temporal-Analysis,National,Annual,Surveillance gap analysis
