Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
18,Cape Coast Metro District 2016 Cholera Outbreak,https://pmc.ncbi.nlm.nih.gov/articles/PMC7837350/,Cape Coast Metropolis cholera outbreak investigation 731 cases,2016-10-24 to 2016-12-31,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,CRHD_Academic,Academic_PMC
19,Sekondi-Takoradi Metro 2024 Cholera Cases,https://www.ghanabusinessnews.com/2024/12/01/cholera-deaths-in-sekondi-takoradi-rise-to-five/,Sekondi-Takoradi Metropolitan cholera outbreak December 2024,2024-11-01 to 2024-12-01,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Western,Regional_News
20,BMC Brong Ahafo Region Cholera 2014,https://bmcresnotes.biomedcentral.com/articles/10.1186/s13104-017-2728-0,Large cholera outbreak Brong Ahafo Region 2014 district breakdown,2014-07-30 to 2014-12-31,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,BA_Regional_Surveillance,Academic_BMC
21,Accra Metro District 2014 Cholera Data,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-017-4803-9,Accra Metro district cholera 2014 outbreak district-level data,2014-06-01 to 2015-01-31,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_Academic_WHO,Academic_BMC
22,Osu Klottey District 2011 Cholera Surveillance,https://panafrican-med-journal.com/content/article/28/224/full/,Osu Klottey District cholera surveillance system evaluation 2011,2011-01-01 to 2011-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_Accra_District,Academic_Pan_African
23,Osu Klottey District 2012 Cholera Surveillance,https://panafrican-med-journal.com/content/article/28/224/full/,Osu Klottey District cholera surveillance system evaluation 2012,2012-01-01 to 2012-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_Accra_District,Academic_Pan_African
24,Kpone Katamanso District 2024 Cholera Cases,https://newsghana.com.gh/kpone-katamanso-health-authorities-confirm-two-cholera-cases-urge-public-vigilance/,Kpone Katamanso Municipal Health Directorate cholera cases 2024,2024-10-31 to 2024-10-31,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Greater_Accra,Regional_News
25,KEEA District 2012 Cholera Outbreak,https://idpjournal.biomedcentral.com/articles/10.1186/s40249-016-0192-z,KEEA Municipal cholera outbreak response evaluation 2012,2012-09-11 to 2012-09-26,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_KEEA_WHO,Academic_IDSR
26,Ledzokuku Krowor District 2024 Cholera Cases,https://ghana.opendataforafrica.org/kzspqfg/population-size-ghana-by-region-2010-2020?region=1000510-ledzokuku-krowor-municipal,Ledzokuku Krowor Municipal District cholera surveillance recent outbreak,2024-10-01 to 2024-11-30,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Greater_Accra,District_Data
27,KEEA District 2016 Cholera Outbreak Share,https://pmc.ncbi.nlm.nih.gov/articles/PMC7837350/,KEEA district portion of 2016 Central Region cholera outbreak,2016-10-24 to 2016-12-21,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,CRHD_Academic,Academic_PMC
28,Awutu Senya East Municipal 2024 Cholera Outbreak,https://www.graphic.com.gh/news/health/cholera-kills-5-people-in-kasoa.html,Awutu Senya East Municipal cholera outbreak Kasoa October 2024,2024-10-31 to 2024-11-03,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Central_Region,Regional_News
29,Abura Asebu Kwamankese District 2016 Cholera Outbreak,https://pmc.ncbi.nlm.nih.gov/articles/PMC7837350/,Abura Asebu Kwamankese district Central Region cholera outbreak 2016,2016-10-24 to 2017-01-09,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,CRHD_Academic,Academic_PMC
30,Western North Regional Health Directorate 2025 Cholera Prevention,https://gna.org.gh/2025/05/wnr-health-directorate-meets-stakeholders-on-cholera-prevention/,Western North Regional Health Directorate cholera prevention stakeholder meeting,2025-05-01 to 2025-05-31,Prevention,Complete,Level_2,Validated,WebSearch_Geographic,English,1,GHS_Western_North,Regional_News
31,Ahafo Regional Health Directorate Health System Structure,https://ghs.gov.gh/ahafo/,Ahafo Regional Health Directorate 6 districts 27 sub-districts structure,2020-05-01 to 2025-07-24,System,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_Ahafo_RHD,Official_GHS
32,Akatsi District 2012 Cholera Outbreak Evaluation,https://idpjournal.biomedcentral.com/articles/10.1186/s40249-016-0192-z,Akatsi District Volta Region cholera outbreak 2012 WHO evaluation tool,2012-09-11 to 2012-09-26,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_WHO_Framework,Academic_IDSR
33,Ashanti Region 2024 Cholera Cases,https://www.modernghana.com/news/1368808/ashanti-region-records-first-five-cholera-cases.html,Ashanti Region first five cholera cases December 2024 three districts,2024-12-28 to 2024-12-28,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Ashanti,Regional_News
34,Upper East Region 2015 Vea-Gunga Cholera Outbreak,https://esmed.org/MRA/mra/article/view/1119,Vea-Gunga Bongo District cholera outbreak 2015 interfamilial transmission,2015-06-28 to 2015-07-15,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_Upper_East,Academic_MRA
35,Bono Region Sunyani Municipal 2014 Cholera Cases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5553860/,Sunyani Municipal district 2014 Brong Ahafo cholera outbreak confirmed cases,2014-07-30 to 2014-12-31,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,BA_Regional_Surveillance,Academic_BMC
36,Gomoa East District 2024 Cholera Outbreak,https://www.adomonline.com/cholera-outbreak-central-region-records-7-deaths-47-confirmed-and-720-suspected-cases/,Gomoa East District Central Region cholera outbreak October 2024,2024-10-31 to 2024-11-30,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Central_Region,Regional_News
37,Effutu Municipality 2025 Cholera Outbreak,https://3news.com/news/cholera-outbreak-2-dead-in-effutu-69-confirmed-cases-in-central-region/,Effutu Municipality Central Region cholera outbreak February 2025,2025-02-01 to 2025-02-08,Surveillance,Complete,Level_3,Validated,WebSearch_Geographic,English,1,GHS_Central_Region,Regional_News
38,Shama District 2024 Cholera Hotspot,https://reliefweb.int/report/ghana/ghana-cholera-outbreak-2024-dref-operation-mdrgh020,Shama District Western Region cholera hotspot vaccination campaign 2024,2024-12-15 to 2024-12-18,Surveillance,Complete,Level_2,Validated,WebSearch_Geographic,English,1,GHS_Western_Region,Priority_TIER2
39,Ho Municipality 2011-2015 Cholera Surveillance,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-015-1397-y,Ho Municipality Volta Region cholera surveillance 2011-2015 study,2011-01-01 to 2015-12-31,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,GHS_Volta_Academic,Academic_BMC
40,Kassena Nankana District 1999 Cholera Outbreak,https://reliefweb.int/report/ghana/ghana-floods-north-worsen-cholera-outbreak,Kassena Nankana District Upper East cholera outbreak flooding 1999,1999-09-01 to 1999-09-12,Surveillance,Complete,Level_2,Validated,WebSearch_Geographic,English,1,GHS_Upper_East_RedCross,Priority_TIER2
41,Dormaa East District 2014 Cholera Cases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5553860/,Dormaa East District Brong Ahafo cholera outbreak 2014 confirmed cases,2014-07-30 to 2014-12-31,Investigation,Complete,Level_1,Validated,WebSearch_Geographic,English,1,BA_Regional_Surveillance,Academic_BMC
42,Kumasi Metropolis Cholera Surveillance Zero Target 2015,https://afenet-journal.org/evaluation-of-cholera-surveillance-system-kumasi-metropolis-ashanti-region-ghana-2020/,Academic evaluation confirms zero target for cholera met in 2015,2015-01-01 to 2015-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,GHS_Kumasi_Academic,Academic_AFENET
43,Kumasi Metropolis Cholera Surveillance Zero Target 2017,https://afenet-journal.org/evaluation-of-cholera-surveillance-system-kumasi-metropolis-ashanti-region-ghana-2020/,Academic evaluation confirms zero target for cholera met in 2017,2017-01-01 to 2017-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,GHS_Kumasi_Academic,Academic_AFENET
44,Ghana Health Service Zero Cholera Cases Since 2020,https://www.graphic.com.gh/news/general-news/nation-records-zero-cholera-cases-since-2020.html,Ghana Health Service confirms zero cholera cases recorded since 2020,2020-01-01 to 2020-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,GHS_National_Surveillance,Official_GHS
45,Ghana Health Service Zero Cholera Cases 2021,https://www.graphic.com.gh/news/general-news/nation-records-zero-cholera-cases-since-2020.html,Ghana Health Service confirms zero cholera cases recorded in 2021,2021-01-01 to 2021-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,GHS_National_Surveillance,Official_GHS
46,Ghana Health Service Zero Cholera Cases 2022,https://www.graphic.com.gh/news/general-news/nation-records-zero-cholera-cases-since-2020.html,Ghana Health Service confirms zero cholera cases recorded in 2022,2022-01-01 to 2022-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,GHS_National_Surveillance,Official_GHS
47,Ghana Health Service Zero Cholera Cases 2023,https://www.graphic.com.gh/news/general-news/nation-records-zero-cholera-cases-since-2020.html,Ghana Health Service confirms zero cholera cases recorded in 2023,2023-01-01 to 2023-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,GHS_National_Surveillance,Official_GHS
48,WHO IHR Ghana Surveillance Framework Validation,https://www.afro.who.int/sites/default/files/2020-10/Ghana Annual report 2019.pdf,WHO IHR surveillance framework supports cholera reporting and zero-reporting validation,2016-01-01 to 2024-12-31,Surveillance,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,1,WHO_Ghana_IHR,Official_WHO
49,BMC Cholera Surveillance System Validation Ghana 2015-2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC5881562/,Academic validation of Ghana cholera surveillance system effectiveness attributes,2015-01-01 to 2020-12-31,Investigation,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,2,GHS_Academic_CDC,Academic_BMC
50,Ghana Cholera Epidemic Cycles Academic Analysis,https://www.nature.com/articles/s41598-018-36029-4,Scientific analysis of cholera epidemic cycles and inter-outbreak patterns in Ghana,1970-01-01 to 2018-12-31,Investigation,Complete,Level_1,Validated,WebSearch_ZeroTransmission,English,2,Academic_Kumasi,Academic_Nature
