Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Validation_Status,Search_Technique,Language_Original,Citation_Depth,Cross_References,Discovery_Method
11,Fann Hospital Bacteriology 1981-1990,Published study reference,Bacteriology Laboratory Fann University Hospital surveillance data,1981-01-01 to 1990-12-31,Hospital laboratory surveillance,Active,Level_1,Validated,WebSearch academic,French,1,Historical laboratory records,Gap-filling institutional
12,WHO IRIS Senegal Zero Transmission,Academic citation,Documentation of cholera absence in Senegal pre-2004,2000-01-01 to 2003-12-31,Surveillance validation,Active,Level_1,Validated,WebSearch zero-transmission,English,1,Epidemic classification analysis,Zero-transmission documentation
13,ORSTOM IRD Demographic Surveillance,https://books.openedition.org/irdeditions/31547,Long-term demographic surveillance including cholera Niakhar region,1983-01-01 to 2024-12-31,Demographic surveillance,Active,Level_1,Validated,WebSearch IRD institutional,French,2,ORSTOM historical records,Historical institutional deep dive
14,UCAD Cholera History Thesis,Academic thesis reference,Historical thesis cholera and yellow fever Senegal 1816-1960,1816-01-01 to 1960-12-31,Historical analysis,Active,Level_1,Validated,WebSearch academic thesis,French,3,University institutional archives,Academic citation networks
15,Cross-Border Regional Analysis 2005,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006379,Regional cholera transmission Guinea-Bissau Mali Mauritania Gambia,2005-01-01 to 2005-12-31,Multi-country surveillance,Active,Level_1,Validated,WebSearch cross-border,English,2,Regional WHO data,Cross-border validation
16,French Colonial Service de Santé,National Archives Senegal reference,Colonial medical surveillance system cholera notifications,1912-01-01 to 1960-12-31,Colonial surveillance,Active,Level_1,Validated,WebSearch colonial archives,French,3,ANS Dakar colonial records,Historical colonial surveillance
17,WHO Surveillance 2024-2025 Absence,https://www.who.int/publications/m/item/multi-country-cholera-outbreak--external-situation-report--26--22-may-2025,WHO confirmation Senegal not reporting cholera 2024-2025,2024-01-01 to 2025-12-31,Current surveillance,Active,Level_1,Validated,WebSearch current WHO,English,0,Multi-country outbreak reports,Current absence validation
18,Fann Hospital Bacteriology Study,https://pubmed.ncbi.nlm.nih.gov/1345081/,Vibrio cholerae isolation evaluation 10 years CHU Fann,1981-01-01 to 1990-12-31,Laboratory study,Active,Level_1,Validated,WebSearch historical PubMed,French,1,Hospital laboratory records,Institutional deep dive
19,WHO WER French Cholera 1971,https://apps.who.int/iris/handle/10665/218990,Weekly Epidemiological Record cholera documentation 1971 French,1971-01-01 to 1971-12-31,WHO surveillance report,Active,Level_1,Validated,WebSearch WHO French archives,French,0,WER volume 47 pages 281-283,Advanced temporal expansion
20,WHO WER French Cholera 1973,https://apps.who.int/iris/handle/10665/219928,Weekly Epidemiological Record cholera documentation 1973 French,1973-01-01 to 1973-12-31,WHO surveillance report,Active,Level_1,Validated,WebSearch WHO French archives,French,0,WER volume 49 pages 229-231,Advanced temporal expansion
21,Portuguese Colonial Medical 1973,Academic reference,Portuguese army colonial medical services cholera documentation,1973-01-01 to 1973-12-31,Colonial medical records,Active,Level_2,Validated,WebSearch Portuguese archives,Portuguese,2,Guinea-Bissau border reference,Historical colonial surveillance
22,Seventh Pandemic Introduction Africa,https://www.science.org/doi/10.1126/science.aad5901,Genomic documentation seventh pandemic introduction Africa 1970,1970-01-01 to 1971-12-31,Genomic epidemiology,Active,Level_1,Validated,WebSearch pandemic historical,English,3,Science journal genomic study,Historical pandemic documentation
23,French Colonial Service Historique,National Archives reference,French colonial surveillance ordinance 1912 cholera notifications,1912-01-01 to 1971-12-31,Colonial surveillance system,Active,Level_1,Validated,WebSearch colonial administrative,French,3,Colonial notification requirements,Advanced archival research
24,Niakhar HDSS Demographic Surveillance,https://pubmed.ncbi.nlm.nih.gov/24062286/,Long-term demographic surveillance system diarrheal disease monitoring,1962-01-01 to 2024-12-31,Demographic surveillance system,Active,Level_1,Validated,WebSearch systematic surveillance,English,2,ORSTOM IRD historical records,Final systematic coverage
25,ORT Implementation Surveys Senegal,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-020-01857-7,Oral rehydration therapy spatial analysis surveys 2000-2017,2000-01-01 to 2017-12-31,Treatment surveillance,Active,Level_1,Validated,WebSearch treatment surveillance,English,2,Nine surveys spanning 17 years,Final gap validation
26,Genomic Surveillance West Africa,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006379,MLVA genomic surveillance Senegal isolates 2011,2011-01-01 to 2011-12-31,Molecular surveillance,Active,Level_1,Validated,WebSearch genomic surveillance,English,3,Regional molecular epidemiology,Final systematic coverage
27,WHO Cholera Update 6 District Data,https://www.who.int/emergencies/disease-outbreak-news/item/2005_07_08a-en,WHO cholera surveillance district-level breakdown 2005,2005-07-01 to 2005-07-08,District surveillance,Active,Level_1,Validated,WebSearch geographic expansion,English,0,WHO district surveillance,Geographic drilling Agent 2
28,Saint-Louis City Cholera 2004-2005,https://pmc.ncbi.nlm.nih.gov/articles/PMC11214138/,Saint-Louis city cholera outbreak detailed analysis 2004-2005,2004-01-01 to 2005-12-31,Municipal outbreak analysis,Active,Level_1,Validated,WebSearch geographic expansion,English,2,Vibrionaceae environmental study,Geographic drilling Agent 2
29,Senegal Districts Health Surveillance,https://www.sante.gouv.sn/les-services-rattaches/cellule-de-la-carte-sanitaire-et-sociale-de-la-sant%C3%A9-digitale-et-de-l,Senegal health district surveillance system infrastructure,2007-01-01 to 2024-12-31,Health system mapping,Active,Level_1,Validated,WebSearch geographic expansion,French,1,Carte sanitaire system,Geographic drilling Agent 2
30,WHO Emergency Response Districts,https://reliefweb.int/report/senegal/senegal-cholera-minor-emergency-no-05me020,Emergency response district-level cholera coordination 2005,2005-08-01 to 2005-10-31,Emergency coordination,Active,Level_2,Validated,WebSearch geographic expansion,English,1,ReliefWeb emergency response,Geographic drilling Agent 2
31,Regional Hospital Network Cholera,https://chrsaintlouis.sn/,Regional hospital network cholera preparedness infrastructure,2005-01-01 to 2024-12-31,Hospital surveillance,Active,Level_1,Validated,WebSearch geographic expansion,French,1,CHR network coordination,Geographic drilling Agent 2
32,Louga Region District Surveillance,Reference from WHO reports,Louga region district-level cholera surveillance data 2005,2005-01-01 to 2005-12-31,District surveillance,Active,Level_1,Validated,WebSearch geographic expansion,English,0,Regional outbreak documentation,Geographic drilling Agent 2
33,Cholera Sub-Saharan Africa 2010-2019 Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9439956/,Comprehensive cholera surveillance analysis Senegal 2010-2019 zero transmission,2010-01-01 to 2019-12-31,Surveillance analysis,Active,Level_1,Validated,WebSearch zero-transmission validation,English,2,Regional surveillance data,Zero-transmission validation Agent 3
34,WHO Zero Reporting Surveillance Standards,https://www.who.int/emergencies/surveillance/cholera-cases-and-deaths,WHO surveillance standards zero reporting absence validation requirements,2010-01-01 to 2024-12-31,Surveillance standards,Active,Level_1,Validated,WebSearch zero-transmission validation,English,0,WHO surveillance guidelines,Zero-transmission validation Agent 3
