Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::ETH::SNNPR::Wolayita::Humbo,2008-01-01,2008-12-31,presence_confirmed_count_unknown,95,"Zayeda Beyene, Compiled Body of Works in Field Epidemiology, Ethiopian Field Epidemiology and Laboratory Training Program (EFELTP), Addis Ababa University School of Public Health, 2011 (AAU ETD)",0.7,"Source states: '[Table 7.2, SNNPR district epidemic assessment 10-22 June 2009: Wolayita zone | Humbo | population 149,549 | Disease: AWD | Ongoing outbreak: No | Date: In 2008] - AWD outbreak reported for Humbo district in 2008 with NO case count printed in the Cases column. Column sequence verified by rendering page 87 of the thesis PDF as an image.' - cholera confirmed present; no case count available.",AI,
AFR::ETH::SNNPR::Sidama::Loka_Abaya,2008-10-01,2008-10-31,presence_confirmed_count_unknown,95,"Zayeda Beyene, Compiled Body of Works in Field Epidemiology, Ethiopian Field Epidemiology and Laboratory Training Program (EFELTP), Addis Ababa University School of Public Health, 2011 (AAU ETD)",0.7,"Source states: '[Table 7.2, SNNPR district epidemic assessment 10-22 June 2009: Sidama zone | Look abaya | population 93,729 | Disease: AWD | Ongoing outbreak: No | Date: October 2008] - AWD outbreak reported for Loka Abaya district in October 2008 with NO case count printed in the Cases column. Column sequence verified by rendering page 87 of the thesis PDF as an image.' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Oromia::East_Hararghe,2011-09-01,2011-09-30,presence_confirmed_count_unknown,122,"UNICEF Ethiopia Horn of Africa Crisis Situation Report #13, 14 September - 12 October 2011",0.8,"Source states: 'In September, Acute Watery Diarrhea (AWD) outbreaks were reported from four zones in Oromiya and Somali regions (East and West Hararghe, Shinille and Korahe). Kebridahar woreda (Korahe zone) in the Somali Region reported the highest number of suspected cases, and up to late September the cases continued to increase. [AGENT 5: cholera/AWD PRESENCE established for this zone in September 2011 but NO case count is given for it, so no row was written to cholera_data_ai.csv. 2011 is the year Agent 3 retracted a fabricated national zero for; this is further positive presence evidence against re-asserting one.]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Oromia::West_Hararghe,2011-09-01,2011-09-30,presence_confirmed_count_unknown,122,"UNICEF Ethiopia Horn of Africa Crisis Situation Report #13, 14 September - 12 October 2011",0.8,"Source states: 'In September, Acute Watery Diarrhea (AWD) outbreaks were reported from four zones in Oromiya and Somali regions (East and West Hararghe, Shinille and Korahe). Kebridahar woreda (Korahe zone) in the Somali Region reported the highest number of suspected cases, and up to late September the cases continued to increase. [AGENT 5: cholera/AWD PRESENCE established for this zone in September 2011 but NO case count is given for it, so no row was written to cholera_data_ai.csv. 2011 is the year Agent 3 retracted a fabricated national zero for; this is further positive presence evidence against re-asserting one.]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Somali::Shinile,2011-09-01,2011-09-30,presence_confirmed_count_unknown,122,"UNICEF Ethiopia Horn of Africa Crisis Situation Report #13, 14 September - 12 October 2011",0.8,"Source states: 'In September, Acute Watery Diarrhea (AWD) outbreaks were reported from four zones in Oromiya and Somali regions (East and West Hararghe, Shinille and Korahe). Kebridahar woreda (Korahe zone) in the Somali Region reported the highest number of suspected cases, and up to late September the cases continued to increase. [AGENT 5: cholera/AWD PRESENCE established for this zone in September 2011 but NO case count is given for it, so no row was written to cholera_data_ai.csv. 2011 is the year Agent 3 retracted a fabricated national zero for; this is further positive presence evidence against re-asserting one.]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Oromia::West_Hararghe::Mieso,2011-09-26,2011-10-03,presence_confirmed_count_unknown,123,"OCHA Ethiopia Humanitarian Bulletin - Weekly Humanitarian Highlights, 3 October 2011",0.8,"Source states: 'New cases of acute watery diarrhoea (AWD) continue to be reported in Kebridehar woreda of Somali region. Three kebeles in Kebridehar town and six rural kebeles around the town have been affected. ... AWD cases also continue to be reported in West Harerge zone (Mieso and Chiro woredas) and East Harerge zone (Kersa woreda) of Oromia region. [AGENT 5: woreda-level cholera/AWD PRESENCE, no counts given.]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Oromia::East_Hararghe::Kersa,2011-09-26,2011-10-03,presence_confirmed_count_unknown,123,"OCHA Ethiopia Humanitarian Bulletin - Weekly Humanitarian Highlights, 3 October 2011",0.8,"Source states: 'AWD cases also continue to be reported in West Harerge zone (Mieso and Chiro woredas) and East Harerge zone (Kersa woreda) of Oromia region. [AGENT 5: woreda-level cholera/AWD PRESENCE in 2011, no counts given.]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Oromia,2026-01-01,2026-06-30,presence_confirmed_count_unknown,24,"UNICEF Ethiopia Humanitarian Situation Report No. 3 (Mid-Year), 30 June 2026",0.8,"Source states: 'Furthermore, recurring population displacement and cholera outbreaks, especially in Oromia, placed significant additional pressure on already overstretched WASH infrastructure and services [UNICEF Ethiopia Humanitarian Situation Report No. 3 (Mid-Year), 30 June 2026, WASH section, results for January-June 2026]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Somali::Jarar::Degahbur,2011-09-11,2012-09-10,presence_confirmed_count_unknown,138,"Tahir Abdifatah, Compiled Body of Works in Field Epidemiology, Ethiopian FETP, Addis Ababa University School of Public Health, 2015 (AAU ETD) - Meher Need Assessment on Health and Nutrition, Jarar (Jerar) zone, Ethio-Somali Regional State, 26 November-12 December 2014",0.65,"Source states: 'AWD: Birkood, Ararso, aware and Gashamo districts were not reported Acute Watery Diarrhea in the last three years while Degahbuur council, Guanaco and Degahbuur district had reported cases of AWD in 2004 [EC]. ... there was AWD occurrence in the last 3 years in 3 woredas (30%) of the zone ... Outbreak: There is no ongoing disease out breaks in Jerar zone in last six-month. [Meher season assessments were conducted from November 26 to December 12 /2014 in Jerar Zones ... 5 districts, 5 health center and 12 health post were visited during the assessment namely Degahbuur, Birkood, Ararso, Aware and Gashamo out of the 10 district of the Jerar zone]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Somali::Jarar::Gunagado,2011-09-11,2012-09-10,presence_confirmed_count_unknown,138,"Tahir Abdifatah, Compiled Body of Works in Field Epidemiology, Ethiopian FETP, Addis Ababa University School of Public Health, 2015 (AAU ETD) - Meher Need Assessment on Health and Nutrition, Jarar (Jerar) zone, Ethio-Somali Regional State, 26 November-12 December 2014",0.65,"Source states: 'AWD: Birkood, Ararso, aware and Gashamo districts were not reported Acute Watery Diarrhea in the last three years while Degahbuur council, Guanaco and Degahbuur district had reported cases of AWD in 2004 [EC]. ... there was AWD occurrence in the last 3 years in 3 woredas (30%) of the zone ... Outbreak: There is no ongoing disease out breaks in Jerar zone in last six-month. [Meher season assessments were conducted from November 26 to December 12 /2014 in Jerar Zones ... 5 districts, 5 health center and 12 health post were visited during the assessment namely Degahbuur, Birkood, Ararso, Aware and Gashamo out of the 10 district of the Jerar zone]' - cholera confirmed present; no case count available.",AI,
AFR::ETH::Somali::Liben::Dollo_Ado,2014-09-22,2014-09-28,presence_confirmed_count_unknown,139,"OCHA Ethiopia Weekly Humanitarian Bulletin series, 2012-2015 (full year sets crawled: 29 issues of 2012, 49 of 2013, 50 of 2014, 51 of 2015)",0.4,"Source states: '[SUSPECTED ONLY - NOT LABORATORY OR EPIDEMIOLOGICALLY CONFIRMED, AND NO OUTCOME WAS EVER PUBLISHED: the twelve subsequent 2014 issues of this weekly series were crawled and none mentions Dollo Ado, diarrhoea or AWD again.] OCHA Ethiopia Weekly Humanitarian Bulletin, 29 September 2014, KEY EVENTS: 'Suspected cases of acute watery diarrhea (AWD) were reported from Dollo Ado woreda last week. A health team is currently investigating the report.' Recorded because the JHU baseline layer carries sCh=0 for the whole of 2014 (JHU Index 231, flagged Phantom: True) and this is the only contemporaneous Ethiopian AWD case signal for that year.' - cholera confirmed present; no case count available.",AI,
AFR::ETH,1985-01-01,1986-12-31,presence_confirmed_count_unknown,140,"Coppo A, Colombo M, Pazzani C, et al. Vibrio cholerae in the Horn of Africa: epidemiology, plasmids, tetracycline resistance gene amplification, and comparison between O1 and non-O1 strains. Am J Trop Med Hyg 1995;53(4):351-9 (PMID 7485686, doi:10.4269/ajtmh.1995.53.351)",0.7,"Source states: 'The prevalence of Vibrio cholerae O1 and non-O1 has been investigated in numerous Somali regions of the Horn of Africa from 1983 to 1990. From January 1983 to January 1985 and between December 1986 and December 1990, no strains of V. cholerae O1 and 226 strains (5.3%) of V. cholerae non-O1 were isolated from 4,295 diarrhea cases. During a cholera epidemic in 1985 and 1986, the overall case-fatality rate was 13% and the attack rate was 3-3.5 per 1,000 population. Matched case-control studies identified a waterborne route of transmission. A drug-susceptible Ogawa strain from Ethiopia caused the introduction of the disease into northern Somalia. [INFERENCE STATED PLAINLY: the paper's fieldwork is Somali, not Ethiopian, and it gives NO Ethiopian date, place or case count. What it establishes is that toxigenic V. cholerae O1 Ogawa was circulating IN ETHIOPIA at or before the onset of the 1985-86 northern Somalia epidemic, since Ethiopia is identified as the source of the introducing strain. The 1985-01-01..1986-12-31 window is the Somali epidemic's own span, used as the outer bound. Ethiopia's WHO cholera notification for every year of this window is BLANK - see metadata Index 137 - while Somalia notified 10,199 cases in 1985 and 15,980 in 1986 and Sudan 4,457 in 1985.]' - cholera confirmed present; no case count available.",AI,
