Index,Source,URL,Description,Date_Range,Data_Type,Status,Reliability_Level,Access_Status
16,WHO Multi-country Report,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20250210_multi-country_outbreak-of-cholera_sitrep--23.pdf,WHO multi-country cholera outbreak situation report,2025-02-10,Official,Active,1,Accessible
17,UN Angola Cholera Response,https://angola.un.org/pt/288349-surto-de-cólera-em-angola-reforçar-capacidade-de-resposta-e-promover-resiliência-das,UN Angola cholera outbreak response capacity strengthening,2025,Official,Active,1,Accessible
18,Portuguese Media Report,https://rr.pt/noticia/mundo/2025/04/06/colera-matou-mais-de-400-pessoas-desde-janeiro-em-angola/420533/,Portuguese media report on cholera deaths in Angola,2025-04-06,Media,Active,3,Accessible
19,Xinhua News Agency,https://portuguese.xinhuanet.com/20250111/59badd4b79034d948ebad7fe5836cadd/c.html,Xinhua Portuguese report on cholera outbreak,2025-01-11,Media,Active,3,Accessible
20,REDISSE Angola Project,https://www.redisseangola.ao/pt/noticias/REDISSE-IV-Angola-com-o-MINSA-no-combate-a-Colera,REDISSE IV Angola with MINSA in cholera combat,2025,Official,Active,2,Accessible
21,GAVI Vaccination Work,https://www.gavi.org/vaccineswork/angolas-borderlands-communities-brace-cholera,GAVI report on Angola borderland cholera preparedness,2025,Official,Active,2,Accessible
22,CIDRAP Cholera Update,https://www.cidrap.umn.edu/cholera/cholera-spreading-across-angola-more-8500-cases,CIDRAP report on cholera spreading across Angola,2025,Academic,Active,2,Accessible
23,Doctors with Africa CUAMM,https://doctorswithafrica.org/en/whats-new/news/cholera-outbreak-in-angola-cuamm-emergency-response/,CUAMM emergency response to Angola cholera outbreak,2025,Humanitarian,Active,2,Accessible
24,The Lancet Commentary,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(25)00240-5/fulltext,The Lancet commentary on Angola cholera outbreak,2025,Academic,Active,2,Accessible
25,BMC Infectious Diseases,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06986-9,BMC study on cholera spread in western DRC with Angola context,1973-2018,Academic,Active,2,Accessible
26,ECDC Cholera Overview,https://www.ecdc.europa.eu/en/all-topics-z/cholera/surveillance-and-disease-data/cholera-monthly,ECDC monthly cholera surveillance overview including Angola,2024-2025,Official,Active,1,Accessible
27,AllAfrica News Reports,https://allafrica.com/stories/202503120050.html,AllAfrica news reports on Angola cholera cases,2025,Media,Active,3,Accessible
28,UNICEF ESA Regional,https://www.unicef.org/esa/reports/cholera-outbreak-eastern-and-southern-africa-2024,UNICEF Eastern and Southern Africa cholera outbreak report,2024,Humanitarian,Active,2,Accessible
29,UNICEF Angola WASH,https://www.unicef.org/angola/en/stories/unicef-wash-challenges-and-responses-combating-cholera-outbreak-angola,UNICEF WASH challenges and responses to cholera,2025,Humanitarian,Active,2,Accessible
30,Oxfam Cholera Guidelines,https://policy-practice.oxfam.org/resources/cholera-outbreak-guidelines-preparedness-prevention-and-control-237172/,Oxfam cholera outbreak preparedness and control guidelines,General,Humanitarian,Active,2,Accessible
31,WHO AFRO Cholera Region,https://www.afro.who.int/health-topics/disease-outbreaks/cholera-who-african-region,WHO AFRO regional overview of cholera including Angola,2023-2025,Official,Active,1,Accessible
32,UN News Coverage,https://news.un.org/pt/story/2025/02/1845326,UN News Portuguese coverage of cholera outbreak response,2025-02,Official,Active,2,Accessible
33,Portuguese ReliefWeb Bulletin,https://reliefweb.int/report/angola/boletim-informativo-da-colera-actualizado-08-01-2025-18h-semana-epidemiologica-2-pt,Portuguese cholera bulletin epidemiological week 2,2025-01-08,Official,Active,1,Accessible
34,UNICEF Humanitarian Report 2018,https://reliefweb.int/report/angola/unicef-angola-humanitarian-situation-report-october-2018,UNICEF Angola humanitarian situation report,2018-10,Humanitarian,Active,2,Accessible
35,Cross-Border Study PLOS,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0156674,PLOS ONE cross-border cholera outbreaks in Sub-Saharan Africa,General,Academic,Active,2,Accessible
