Location,TL,TR,Primary,Phantom,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,extraction_status
AFR::AGO::National::National,2025-01-01,2025-04-30,true,false,505,14090,,3.6,2025-04-30,1,WHO Disease Outbreak News,1.0,EXTRACTED
AFR::AGO::National::National,2025-01-01,2025-05-21,true,false,700,21000,,3.3,2025-05-21,22,CIDRAP Cholera Update,0.8,EXTRACTED
AFR::AGO::National::National,2025-01-01,2025-05-31,true,false,800,25000,,3.2,2025-05-31,18,Portuguese Media Report,0.7,EXTRACTED
AFR::AGO::National::National,1995-01-01,1995-12-31,true,false,,3295,,,1995-12-31,22,CIDRAP Cholera Update,0.7,EXTRACTED
AFR::AGO::National::National,1996-01-01,1996-12-31,true,false,,1306,,,1996-12-31,22,CIDRAP Cholera Update,0.7,EXTRACTED
AFR::AGO::National::National,1987-01-01,1987-12-31,true,false,1460,16000,,9.1,1987-12-31,22,CIDRAP Cholera Update,0.7,EXTRACTED
AFR::AGO::National::National,2011-01-01,2011-12-31,true,false,181,2284,,7.9,2011-12-31,22,CIDRAP Cholera Update,0.7,EXTRACTED
AFR::AGO::Cabinda::Cabinda,2016-01-01,2017-12-31,true,false,3,73,,4.1,2017-12-31,22,CIDRAP Cholera Update,0.8,EXTRACTED
AFR::AGO::Zaire::Zaire,2016-01-01,2017-12-31,true,false,8,174,,4.6,2017-12-31,22,CIDRAP Cholera Update,0.8,EXTRACTED
AFR::AGO::Luanda::Luanda,2016-01-01,2017-12-31,true,false,0,5,,0.0,2017-12-31,22,CIDRAP Cholera Update,0.8,EXTRACTED
AFR::AGO::National::National,2016-01-01,2017-12-31,true,false,11,252,,4.4,2017-12-31,22,CIDRAP Cholera Update,0.8,EXTRACTED
AFR::AGO::Benguela::Benguela,1992-01-01,2006-12-31,true,false,,,,,2006-12-31,11,PubMed Research Study,0.8,EXTRACTED
AFR::AGO::Bengo::Bengo,1992-01-01,2006-12-31,true,false,,,,,2006-12-31,11,PubMed Research Study,0.8,EXTRACTED
AFR::AGO::Luanda::Luanda,1992-01-01,2006-12-31,true,false,,,,,2006-12-31,11,PubMed Research Study,0.8,EXTRACTED
AFR::AGO::CuandoCubango::CuandoCubango,1992-01-01,2006-12-31,true,false,,,,,2006-12-31,11,PubMed Research Study,0.8,EXTRACTED
AFR::AGO::Cabinda::Cabinda,1992-01-01,2006-12-31,true,false,,,,,2006-12-31,11,PubMed Research Study,0.8,EXTRACTED
AFR::AGO::National::National,2025-03-08,2025-03-08,true,false,421,11307,,3.6,2025-03-08,13,Africa CDC Angola Support,0.9,EXTRACTED
AFR::AGO::Benguela::Benguela,2025-03-01,2025-05-31,true,false,,4669,,,2025-05-31,27,AllAfrica News Reports,0.7,EXTRACTED
AFR::AGO::Cabinda::Cabinda,2025-03-01,2025-05-31,true,false,,228,,,2025-05-31,27,AllAfrica News Reports,0.7,EXTRACTED
AFR::AGO::CuandoCubango::CuandoCubango,2025-03-01,2025-05-31,true,false,,56,,,2025-05-31,27,AllAfrica News Reports,0.7,EXTRACTED
AFR::AGO::National::National,2020-01-01,2024-12-31,true,false,0,0,,0.0,2024-12-31,26,ECDC Cholera Overview,0.9,EXTRACTED
AFR::AGO::Cabinda::Cabinda,2017-01-01,2017-12-31,true,false,14,236,,5.9,2017-12-31,34,UNICEF Humanitarian Report 2018,0.8,EXTRACTED
AFR::AGO::Zaire::Zaire,2017-01-01,2017-12-31,true,false,10,218,,4.6,2017-12-31,34,UNICEF Humanitarian Report 2018,0.8,EXTRACTED
AFR::AGO::Luanda::Luanda,2017-01-01,2017-12-31,true,false,0,1,,0.0,2017-12-31,34,UNICEF Humanitarian Report 2018,0.8,EXTRACTED
