Location,TL,TR,evidence,source_index,source,confidence_weight,processing_notes,source_database,moved_from_row
AFR::TGO::Centrale::Sotouboua,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Vo,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Yoto,1998-01-01,1999-01-28,presence_confirmed_count_unknown,52,WHO Weekly Epidemiological Record 1999;74(4) - Infected areas as at 28 January 1999,0.9,"Source states: 'Infected areas as at 28 January 1999 - Cholera - Africa - Togo: Golfe District, Kloto District, Kozah District, Lacs District, Ogou District, Sotouboua District, Vo District, Yoto District' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Grand Lome::Golfe,2024-08-01,2024-10-04,presence_confirmed_count_unknown,64,Le Nouveau Reporter - Togo/Cas de cholera: le ministere appelle a la vigilance suite a 4 deces (4 October 2024),0.5,Source states: 'des cas confirmes de cholera depuis le mois d'aout 2024 dans le district sanitaire du Golfe dans le Grand Lome ... le ministere de la Sante et de l'Hygiene publique deplore 04 deces dont 02 a domicile' - cholera confirmed present; no case count available.,AI,
AFR::TGO::Maritime::Lacs,2014-02-04,2014-04-15,presence_confirmed_count_unknown,70,"Rapport de la reunion transfrontaliere de lutte contre le cholera Togo-Benin, Tsevie, 22-23 juillet 2014 (Ministere de la Sante du Togo / UNICEF)",0.7,"Source states: 'En 2014 ... Quant au Togo, le premier episode a demarre le 04 fevrier et a dure jusqu'en debut avril faisant 39 cas et 03 deces. La majorite des cas du Togo a ete enregistre par le district des Lacs qui est frontalier a la zone sanitaire de COME au Benin. L'extension de l'epidemie du benin vers le district cotier des lacs s'est fait suite a la tenue d'une ceremonie vaudou impliquant les communautes des deux pays.' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Savanes::Tone,2001-01-01,2002-12-31,presence_confirmed_count_unknown,73,"IRIN / The New Humanitarian - 'Cholera kills 25 in Lome, 10 new cases per day', 24 February 2004",0.4,"Source states: 'Two years ago, a cholera epidemic swept through the northern town of Dapaong on the border with Burkina Faso. About 700 people were reported to have caught the disease and about 10 died. (IRIN, 'Cholera hits Lome, kills 17', 9 February 2004)' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Savanes::Tone,1998-07-01,1998-10-31,presence_confirmed_count_unknown,74,"Djadou KE, Atakouma DY, Agbobli-Apetsianyi E, Assimadi K. Epidemie de cholera a Dapaong (Togo) de juillet a octobre 1998: cas de l'hopital d'enfants. Med Afr Noire 2001;48(5):187-190",0.8,"Source states: 'Epidemie de cholera a Dapaong (Togo) de juillet a octobre 1998 : cas de l'hopital d'enfants (Djadou KE, Atakouma DY, Agbobli-Apetsianyi E, Assimadi K, Med Afr Noire 2001;48(5):187-190). L'epidemie a debute en juillet 1998, un mois tres pluvieux a Dapaong.' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Zio,2011-01-01,2011-12-31,presence_confirmed_count_unknown,81,Smith AM et al. Comparative Characterization of Vibrio cholerae O1 from Five Sub-Saharan African Countries. PLoS One 2015;10(11):e0142989,0.9,"Source states: 'In Togo, isolates derived from outbreaks in the Zio prefecture (2011), lac regions (2012) and Lome city [districts 1-4 and Golfe] (2010, 2011, and 2012).' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Grand Lome,2010-01-01,2010-12-31,presence_confirmed_count_unknown,81,Smith AM et al. Comparative Characterization of Vibrio cholerae O1 from Five Sub-Saharan African Countries. PLoS One 2015;10(11):e0142989,0.9,"Source states: 'In Togo, isolates derived from outbreaks in the Zio prefecture (2011), lac regions (2012) and Lome city [districts 1-4 and Golfe] (2010, 2011, and 2012).' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Centrale::Tchaoudjo,1972-05-29,1973-07-05,presence_confirmed_count_unknown,83,WHO Weekly Epidemiological Record 1973;48(27):269-280 - Areas removed from the infected area list between 29 June and 5 July 1973 (cholera),0.7,"Source states: 'Areas Removed from the Infected Area List between 29 June and 5 July 1973 - CHOLERA - CHOLERA - Africa - Afrique - TOGO - Region centrale - Sokode Circ. & Subdiv. san. (WER 1973;48(27):277); the same area is carried on the CHOLERA infected-area list in the monthly full lists of WER 1973;48 issues 04, 08, 12, 16, 20 and 24, i.e. continuously from January to late June 1973' - cholera confirmed present; no case count available. AGENT 3 RE-SCOPED 2026-09-19: the listing is now dated from its start. WER 1972;47(23) carries Sokode (Region centrale) as a NEWLY infected area with a cholera notification of 2 cases for 29.V-4.VI 1972, and WER 1972;47(25) a further 3 cases; the entry then appears unchanged in the monthly full lists of issues 26, 30, 35, 39, 43 and 47 of 1972 and throughout 1973 until removal in WER 1973;48(27). POSITIVE CASE EVIDENCE EXISTS ONLY FOR JUNE 1972; the remaining thirteen months of listing are administrative persistence, and this row must NOT be used as evidence that Sokode was transmitting in 1973. Confidence lowered from 0.9 to 0.7 accordingly.",AI,
AFR::TGO::Maritime::Lacs,1974-01-27,1974-06-20,presence_confirmed_count_unknown,90,WHO Weekly Epidemiological Record 1974;49(25) - Areas removed from the infected area list between 14 and 20 June 1974 (cholera),0.9,"Source states: 'WER 1974;49 weekly cholera notification tables: TOGO - Region maritime - Anecho Circ. & Subdiv. san., periods 27.I-2.III, 17-23.III (2 cases 0 deaths), 24-30.III (1/0), 31.III-6.IV (1/0), 7-13.IV (2/0), 14-20.IV (2/0); the same circonscription is on the cholera infected-area list until 'Territoires supprimes ... entre les 14 et 20 juin 1974'. Anecho is the historical name of the Lacs prefecture seat' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Lome,1974-01-27,1974-06-20,presence_confirmed_count_unknown,90,WHO Weekly Epidemiological Record 1974;49(25) - Areas removed from the infected area list between 14 and 20 June 1974 (cholera),0.85,"Source states: 'WER 1974;49 cholera infected-area lists (e.g. issue 18, 'Infected Areas as on 2 May 1974') and the removal notice of issue 25: TOGO - Region maritime - Lome Circ. & Subdiv. san.; the weekly notification table of issue 21 carries Lome at 0 cases for 14-20.IV, so Lome was a listed infected area with no separately notified weekly count' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Haho,1977-06-01,1977-06-30,presence_confirmed_count_unknown,92,"WHO Weekly Epidemiological Record 1977;52 - cholera notification tables and infected-area lists (issues 16, 21, 26, 46, 48, 52)",0.9,Source states: 'Infected Areas as on 30 June 1977 - Zones infectees au 30 juin 1977 - CHOLERA - Africa - TOGO - Regions des Plateaux - Notse Circonscription administrative. Notse is the seat of the Haho prefecture in the Plateaux region' - cholera confirmed present; no case count available.,AI,
AFR::TGO::Maritime::Lacs,1977-09-25,1977-12-28,presence_confirmed_count_unknown,92,"WHO Weekly Epidemiological Record 1977;52 - cholera notification tables and infected-area lists (issues 16, 21, 26, 46, 48, 52)",0.9,"Source states: 'WER 1977;52(46) cholera notification table: TOGO 25.IX-1.X, 13 cases 7 deaths; and the infected-area lists of issues 46, 48 and 52 ('Infected Areas as on 28 December 1977'): TOGO - Region maritime - Anecho Circonscription administrative' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Ogou,1972-04-01,1972-06-30,presence_confirmed_count_unknown,93,"WHO Weekly Epidemiological Record 1972;47 - cholera infected-area lists and notifications (issues 17, 18, 22, 23, 25, 26, 30, 35, 39, 43, 47)",0.85,"Source states: 'WER 1972;47 cholera infected-area lists (issues 17, 18 and 22): TOGO - Region des Plateaux - Atakpame Circ. & Subdiv. san. Atakpame is the seat of the Ogou prefecture in the Plateaux region' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Centrale::Tchaoudjo,1972-05-29,1972-06-30,presence_confirmed_count_unknown,93,"WHO Weekly Epidemiological Record 1972;47 - cholera infected-area lists and notifications (issues 17, 18, 22, 23, 25, 26, 30, 35, 39, 43, 47)",0.95,"Source states: 'WER 1972;47(23) cholera notification table: TOGO - Region centrale - Sokode Circ. & Subdiv. san., period 29.V-4.VI, 2 cases 0 deaths; WER 1972;47(25) a further 3 cases. These are the only notified Sokode cases; the infected-area listing then persisted until 5 July 1973 without further notifications' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Bas-Mono,2024-07-27,2025-03-23,presence_confirmed_count_unknown,94,"WHO AFRO Monthly Regional Cholera Bulletin - March 2025, Figure 28 'Map of Togo showing cholera-affected areas as of 23 March 2025' (data source: MoH Togo)",0.9,Source states: 'Figure 28. Map of Togo showing cholera-affected areas as of 23 March 2025: Bas-Mono (Maritime region) is shaded in the lowest proportion-of-total class (14.51%) and carries a confirmed-case symbol; the February 2025 bulletin also names Bas Mono among the districts where the response evaluation was being finalised' - cholera confirmed present; no case count available.,AI,
AFR::TGO::Maritime::Lacs,2024-08-12,2024-12-29,presence_confirmed_count_unknown,95,"WHO AFRO Weekly Bulletin on Outbreaks and other Emergencies, Week 44 of 2024 (28 Oct - 3 Nov 2024), Togo cholera event entry; with the AFRO monthly cholera bulletins for November and December 2024",0.9,"Source states: 'From 12 August to 21 October 2024 ... reported from four health districts (Golfe, Lacs, Agoe-Nyive, Bas-Mono); In epidemiological week 48 (November 30, 2024), 4 districts were still experiencing an epidemic (Golfe, Agoe, Lacs, and Bas Mono) ... Two deaths were recorded in the Lacs district; In epidemiological week 52, 3 districts were still experiencing an epidemic (Golfe, Agoe, Lacs)' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Golfe,1995-01-01,1995-11-30,presence_confirmed_count_unknown,99,WHO Weekly Epidemiological Record 1995;70(25) - Infected areas as at 22 June 1995 (cholera),0.8,"Source states: 'Infected areas as at 22 June 1995 - Zones infectees au 22 juin 1995: Togo - Golfe District, Kloto District, Kozah District. [Togo carries exactly these THREE districts in every 1995 WER infected-area list checked - issues 03, 10, 15, 19, 22, 25, 30, 34, 37, 40, 43 and 47, i.e. January to November 1995. This is a DIFFERENT and SHORTER list than the eight districts WER printed for Togo on 24 Oct 1991 and 28 Jan 1999 (Golfe, Kloto, Kozah, Lacs, Ogou, Sotouboua, Vo, Yoto), so the list was actively maintained and trimmed, not simply carried forward unchanged. Golfe District.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Kloto,1995-01-01,1995-11-30,presence_confirmed_count_unknown,99,WHO Weekly Epidemiological Record 1995;70(25) - Infected areas as at 22 June 1995 (cholera),0.8,"Source states: 'Infected areas as at 22 June 1995 - Zones infectees au 22 juin 1995: Togo - Golfe District, Kloto District, Kozah District. [Togo carries exactly these THREE districts in every 1995 WER infected-area list checked - issues 03, 10, 15, 19, 22, 25, 30, 34, 37, 40, 43 and 47, i.e. January to November 1995. This is a DIFFERENT and SHORTER list than the eight districts WER printed for Togo on 24 Oct 1991 and 28 Jan 1999 (Golfe, Kloto, Kozah, Lacs, Ogou, Sotouboua, Vo, Yoto), so the list was actively maintained and trimmed, not simply carried forward unchanged. Kloto District.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Kara::Kozah,1995-01-01,1995-11-30,presence_confirmed_count_unknown,99,WHO Weekly Epidemiological Record 1995;70(25) - Infected areas as at 22 June 1995 (cholera),0.8,"Source states: 'Infected areas as at 22 June 1995 - Zones infectees au 22 juin 1995: Togo - Golfe District, Kloto District, Kozah District. [Togo carries exactly these THREE districts in every 1995 WER infected-area list checked - issues 03, 10, 15, 19, 22, 25, 30, 34, 37, 40, 43 and 47, i.e. January to November 1995. This is a DIFFERENT and SHORTER list than the eight districts WER printed for Togo on 24 Oct 1991 and 28 Jan 1999 (Golfe, Kloto, Kozah, Lacs, Ogou, Sotouboua, Vo, Yoto), so the list was actively maintained and trimmed, not simply carried forward unchanged. Kozah District.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Anie,1972-08-01,1973-01-31,presence_confirmed_count_unknown,101,"Bockemuhl J, Meinicke D. Value of phage typing of Vibrio cholerae biotype eltor in West Africa. Bull World Health Organ 1976;54(2):187-192",0.9,"Source states: 'Fig. 1. Cholera outbreaks and endemic areas for cholera in Togo associated with El Tor phage types 1 and 4 according to Basu & Mukerjee. [Map labels, read visually from a 230 dpi render of page 190 of the IRIS scan:] SOKODE V-VI/72 | ANIE XI/71, VIII/72-I/73 | TOMEGBE VIII/71-IV/72 | ADETA III-V/72 | NUATJA IV/71-IV/72 | LOME / ANECHO coastal endemic zone XI/70-XI/72. [ANIE VIII/72 - I/73. THIS IS THE JANUARY 1973 TAIL OF THE 1970-73 EL TOR EPIDEMIC AND IT LOCALISES IT: Anie, Plateaux region. Bockemuhl & Schroter (Tropenmed Parasitol 1975;26:312-322) date the whole epidemic 'November 1970 to January 1973' without saying where the final month was; this map shows the only focus still active into I/73 was Anie. The Lome-Anecho coastal endemic zone is dated XI/70-XI/72 on the same map and had therefore already ended.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Anie,1971-11-01,1971-11-30,presence_confirmed_count_unknown,101,"Bockemuhl J, Meinicke D. Value of phage typing of Vibrio cholerae biotype eltor in West Africa. Bull World Health Organ 1976;54(2):187-192",0.85,"Source states: 'Fig. 1. Cholera outbreaks and endemic areas for cholera in Togo associated with El Tor phage types 1 and 4 according to Basu & Mukerjee. [Map labels, read visually from a 230 dpi render of page 190 of the IRIS scan:] SOKODE V-VI/72 | ANIE XI/71, VIII/72-I/73 | TOMEGBE VIII/71-IV/72 | ADETA III-V/72 | NUATJA IV/71-IV/72 | LOME / ANECHO coastal endemic zone XI/70-XI/72. [ANIE XI/71 - a first, separate Anie episode in November 1971, distinct from the VIII/72-I/73 one.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime,1970-11-01,1972-11-30,presence_confirmed_count_unknown,101,"Bockemuhl J, Meinicke D. Value of phage typing of Vibrio cholerae biotype eltor in West Africa. Bull World Health Organ 1976;54(2):187-192",0.9,"Source states: 'Fig. 1. Cholera outbreaks and endemic areas for cholera in Togo associated with El Tor phage types 1 and 4 according to Basu & Mukerjee. [Map labels, read visually from a 230 dpi render of page 190 of the IRIS scan:] SOKODE V-VI/72 | ANIE XI/71, VIII/72-I/73 | TOMEGBE VIII/71-IV/72 | ADETA III-V/72 | NUATJA IV/71-IV/72 | LOME / ANECHO coastal endemic zone XI/70-XI/72. [The stippled coastal endemic zone running from LOME east to ANECHO is dated XI/70-XI/72. This is the start and the end of cholera in the Togolese littoral during the seventh-pandemic wave.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux,1971-08-01,1972-04-30,presence_confirmed_count_unknown,101,"Bockemuhl J, Meinicke D. Value of phage typing of Vibrio cholerae biotype eltor in West Africa. Bull World Health Organ 1976;54(2):187-192",0.8,"Source states: 'Fig. 1. Cholera outbreaks and endemic areas for cholera in Togo associated with El Tor phage types 1 and 4 according to Basu & Mukerjee. [Map labels, read visually from a 230 dpi render of page 190 of the IRIS scan:] SOKODE V-VI/72 | ANIE XI/71, VIII/72-I/73 | TOMEGBE VIII/71-IV/72 | ADETA III-V/72 | NUATJA IV/71-IV/72 | LOME / ANECHO coastal endemic zone XI/70-XI/72. [TOMEGBE VIII/71-IV/72. Tomegbe is a village in the Wawa prefecture near Badou; coded at region level because the 1971 prefecture boundaries are not the modern ones.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux,1972-03-01,1972-05-31,presence_confirmed_count_unknown,101,"Bockemuhl J, Meinicke D. Value of phage typing of Vibrio cholerae biotype eltor in West Africa. Bull World Health Organ 1976;54(2):187-192",0.8,"Source states: 'Fig. 1. Cholera outbreaks and endemic areas for cholera in Togo associated with El Tor phage types 1 and 4 according to Basu & Mukerjee. [Map labels, read visually from a 230 dpi render of page 190 of the IRIS scan:] SOKODE V-VI/72 | ANIE XI/71, VIII/72-I/73 | TOMEGBE VIII/71-IV/72 | ADETA III-V/72 | NUATJA IV/71-IV/72 | LOME / ANECHO coastal endemic zone XI/70-XI/72. [ADETA III-V/72. Table 4 of the same paper records 15 type-1 and 1 type-4 strains from the Adeta outbreak and the text states the index case 'developed symptoms 3 days after returning from a funeral ceremony near Nuatja'. Coded at region level: Adeta is most likely Kpele-Adeta in the modern Kpele prefecture, but the identification is not certain enough to assert a prefecture.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Kara::Kozah,1971-07-01,1971-07-31,presence_confirmed_count_unknown,101,"Bockemuhl J, Meinicke D. Value of phage typing of Vibrio cholerae biotype eltor in West Africa. Bull World Health Organ 1976;54(2):187-192",0.85,"Source states: 'Table 4. Occurrence of El Tor strains belonging to phage type 1 of Basu & Mukerjee in Togo. Outbreak or endemic area / Period / Type 1 / Type 4: Nuatja April 1971 to April 1972 15 1; Piya (Lama-Kara) July 1971 3 0; Adeta March to May 1972 15 1; Lome November 1970 to July 1972 2 43. [Piya is a village near Lama-Kara, i.e. Kara city, chef-lieu of Kozah prefecture. The text states 'The cases in Piya occurred in a family who had come from that area [Nuatja] a few days before the onset of the disease' - an explicitly imported, family-clustered introduction, and the northernmost documented point of the 1970-73 epidemic.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Kara::Kozah,1971-09-01,1971-11-30,presence_confirmed_count_unknown,117,"WHO Weekly Epidemiological Record 1971;46 - cholera infected-area lists (issues 04, 06, 10, 11, 18, 21, 22, 26, 29, 36, 39, 43, 47, 48)",0.85,"Source states: 'Infected areas, cholera, Africa - TOGO - Region centrale - Lama-Kara, Circ. & Subdiv. san. [Present in the infected-area lists of WER 1971;46(39), (43) and (47), i.e. from late September to late November 1971. Lama-Kara is Kara city, chef-lieu of the Kozah prefecture; it sat in the Region centrale under the 1971 administrative division. This EXTENDS the northern focus beyond the 2 cases WER counted for 1-31 August 1971 (row 146) by three further months, and is the longest documented cholera presence in northern Togo before 2020.]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Kloto,1971-07-01,1971-07-31,presence_confirmed_count_unknown,117,"WHO Weekly Epidemiological Record 1971;46 - cholera infected-area lists (issues 04, 06, 10, 11, 18, 21, 22, 26, 29, 36, 39, 43, 47, 48)",0.8,"Source states: 'Infected areas, cholera, Africa - TOGO - Region des Plateaux - Nuatja, Circ. & Subdiv. san.; Palime (Klouto), Circ. & Subdiv. san. [WER 1971;46(29), July 1971. Kpalime/Kloto is listed as still infected in July 1971, three months after the last count for it (6 cases, 28.II-27.III, row 141).]' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Lacs::Lacs 1,2024-10-03,2024-12-29,presence_confirmed_count_unknown,35,WHO AFRO Monthly Regional Cholera Bulletin - October 2024,0.8,"Source states: 'On 3 October 2024, a new cluster was confirmed in the Lacs 1 commune linked to Katanga's.' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Bas-Mono,2024-10-01,2024-11-09,presence_confirmed_count_unknown,141,WHO AFRO Monthly Regional Cholera Bulletin - November 2024,0.8,"Source states: 'In epidemiological week 48 (November 30, 2024), 4 districts were still experiencing an epidemic (Golfe, Agoe, Lacs, and Bas Mono). The Bas Mono district did not report any suspected cases during the last three weeks of November.' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Grand Lome::Agoe-Nyive::Togblekope,2025-01-01,2025-02-23,presence_confirmed_count_unknown,143,WHO AFRO Monthly Regional Cholera Bulletin - February 2025,0.6,Source states: 'Poor compliance with basic hygiene measures in the communities of Togblekope.' - cholera confirmed present; no case count available.,AI,
AFR::TGO::Centrale::Blitta,2013-01-01,2013-12-31,presence_confirmed_count_unknown,84,"Rebaudet S et al. 2018, PLoS Negl Trop Dis 12(4):e0006379 - S2 Fig 'Weekly number of suspected cholera cases in Togo, by district, and in Lome from 2013 to 2014'",0.8,"Source states: 'Cholera cases in Togo 2013 (by district) - legend: Zio, VO, Tchaoudjo, Tchamba, Lacs, GOLFE, Lome, Blitta, BAS MONO, Anie' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Plateaux::Anie,2013-01-01,2013-12-31,presence_confirmed_count_unknown,84,"Rebaudet S et al. 2018, PLoS Negl Trop Dis 12(4):e0006379 - S2 Fig 'Weekly number of suspected cholera cases in Togo, by district, and in Lome from 2013 to 2014'",0.8,"Source states: 'Cholera cases in Togo 2013 (by district) - legend: Zio, VO, Tchaoudjo, Tchamba, Lacs, GOLFE, Lome, Blitta, BAS MONO, Anie' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Bas-Mono,2013-01-01,2013-12-31,presence_confirmed_count_unknown,84,"Rebaudet S et al. 2018, PLoS Negl Trop Dis 12(4):e0006379 - S2 Fig 'Weekly number of suspected cholera cases in Togo, by district, and in Lome from 2013 to 2014'",0.8,"Source states: 'Cholera cases in Togo 2013 (by district) - legend: Zio, VO, Tchaoudjo, Tchamba, Lacs, GOLFE, Lome, Blitta, BAS MONO, Anie' - cholera confirmed present; no case count available.",AI,
AFR::TGO::Maritime::Lacs,2014-02-03,2014-02-23,presence_confirmed_count_unknown,150,"UNICEF WCARO / Action Contre la Faim - Integrated approach to understand the dynamics of cholera epidemics in Ghana, Togo and Benin (2015), Table 2: total suspected cases, weeks of notification and deaths 2011-2014 by district",0.8,Source states: 'an initial epidemic struck the Lacs district during weeks 6-8 [...] during which three deaths were reported' - cholera confirmed present; no case count available.,AI,
